Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded
242883454050648064,"#earthquake M 3.3, Virgin Islands region: September 01, 2012 06:10:29 GMT http://t.co/wi04LJ1D",Not labeled,Not labeled,Not related,earthquake 3 3 virgin islands region september 01 2012 06 10 29 gmt http co wi04lj1d,0,0
242887379944366080,@EarthquakeTest update your #earthquake s more,Not labeled,Not labeled,Not related,earthquaketest update earthquake,0,0
242919634125328384,"RT @RedazioneWebAL: #Terremoto, Costi (Pd): tanto fatto, tanto da fare, l'importante per chi abita nel cratere è non sentirsi mai ostac ...",Not labeled,Not labeled,Not related,rt redazionewebal terremoto costi pd tanto fatto tanto da fare l importante per chi abita nel cratere è non sentirsi mai ostac,0,0
242920737223106561,"#Earthquake M 2.6, Southern Alaska http://t.co/sdi09taS",Not labeled,Not labeled,Not related,earthquake 2 6 southern alaska http co sdi09tas,0,0
242936558158757889,５年６ヶ月長期保存可能なえいようかん5本。http://t.co/ZlSVctfi #eqjp #quake #saigai #earthquake #jishin #地震 #災害,Not labeled,Not labeled,Not applicable,５年６ヶ月長期保存可能なえいようかん5本 http co zlsvctfi eqjp quake saigai earthquake jishin 地震 災害,1,0
242945299084103681,#earthquake sige najud ug linug diri ui.. =.=,Not labeled,Not labeled,Not applicable,earthquake sige najud ug linug diri ui,1,0
242950005076393985,@MRmusica pasenla super bien :) Mil besos desd #CostaRIca :DDDD,Not labeled,Not labeled,Not related,mrmusica pasenla super bien mil besos desd costarica dddd,0,0
242951548576088065,RT @TerreInMoto: I Negozi di Mirandola 3 Mesi Dopo il #Terremoto - http://t.co/8SVkDdHm,Not labeled,Not labeled,Not related,rt terreinmoto negozi di mirandola 3 mesi dopo il terremoto http co 8svkddhm,0,0
242979541373562880,"#earthquake Philippines (the): NDRRMC Update re Effects of Earthquake in Maramag, Bukidnon http://t.co/YYG65owX #crisismanagement",Not labeled,Not labeled,Not related,earthquake philippines ndrrmc update effects earthquake maramag bukidnon http co yyg65owx crisismanagement,0,0
242997841134505985,"【#USGS #Breaking】 M 1.1, 28km SSW of Fairbanks, Alaska http://t.co/hSyciQFM #PastHour #11 #earthquake #tsunami #prayfromjapan",Not labeled,Not labeled,Not applicable,usgs breaking 1 1 28km ssw fairbanks alaska http co hsyciqfm pasthour 11 earthquake tsunami prayfromjapan,1,0
243025091531780098,"#earthquake: M 1.6, Greater Los Angeles area, California http://t.co/4cX0Qy05",Not labeled,Not labeled,Not related,earthquake 1 6 greater los angeles area california http co 4cx0qy05,0,0
243025959731740675,"#Temblor♨ M 4.2, 72km ESE of Karpathos, Greece http://t.co/KMRZ07mN #Earthquake #Sismo",Not labeled,Not labeled,Not related,temblor 4 2 72km ese karpathos greece http co kmrz07mn earthquake sismo,0,0
243038253253550080,非常食として米国沿岸警備隊の承認を受け、国連や米国国防省をはじめ、IBM、ゼロックス社など、また日本でも官庁や数多くの企業、学校などが備蓄用品として採用しています。 http://t.co/B0HzzZtc #saigai #earthquake #jishin #地震 #災害,Not labeled,Not labeled,Not applicable,非常食として米国沿岸警備隊の承認を受け 国連や米国国防省をはじめ ibm ゼロックス社など また日本でも官庁や数多くの企業 学校などが備蓄用品として採用しています http co b0hzzztc saigai earthquake jishin 地震 災害,1,0
243048072119209984,Roaming local prices – those for #mobile users – didn’t experience great fluctuations with arrival of #Movistar &amp; Claro… #CostaRica…,Not labeled,Not labeled,Not related,roaming local prices mobile users experience great fluctuations arrival movistar amp claro costarica,0,0
243077922947231744,#Guardado dice que #México tiene que cuidarse de las jugadas a balón parado de #CostaRica http://t.co/w3m222sP vía @vivelohoy,Not labeled,Not labeled,Not related,guardado dice que méxico tiene que cuidarse de las jugadas balón parado de costarica http co w3m222sp vía vivelohoy,0,0
