Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp
265785591206133761,Con todo mi #guatemala,Not labeled,Not labeled,Not related,con todo mi guatemala,0,0,2023-01-01 00:00:00
265800397120212992,RT @Telediariogt: DEPORTES: arrancó segundo tiempo de juego en Mundial Futsal #Tailandia2012: #Rusia 6-0 #Guatemala. @MLorenzo_td,Not labeled,Not labeled,Not related,rt telediariogt deportes arrancó segundo tiempo de juego en mundial futsal tailandia2012 rusia 6 0 guatemala mlorenzo_td,0,0,2023-01-01 01:00:00
265818847867707392,#Guatemala : La plus ancienne tombe #Maya a été découverte http://t.co/LhOS8uD8,Not labeled,Not labeled,Not related,guatemala la plus ancienne tombe maya été découverte http co lhos8ud8,0,0,2023-01-01 02:00:00
265845007729192960,La agrupación guatemalteca el @Tambordlatribu anunció presentaciones en Estados Unidos y México #Guatemala,Not labeled,Not labeled,Not related,la agrupación guatemalteca el tambordlatribu anunció presentaciones en estados unidos méxico guatemala,0,0,2023-01-01 03:00:00
265889370882580480,Se pudrió todo @cobreloa @hmarambi Palos es baja contra #sanmarcos y @Juegoypasion dice que Contreras se lesionó y jugará Acevedo. #cobreloa,Not labeled,Not labeled,Not related,se pudrió todo cobreloa hmarambi palos es baja contra sanmarcos juegoypasion dice que contreras se lesionó jugará acevedo cobreloa,0,0,2023-01-01 04:00:00
265911617491959808,"RT @FUNVISIS: #Sismo:2012/11/06 14:24 (HLV), Mag. 3.1 Mw, a 28 Km al suroeste de San Cristobal (7.536 N,-72.322 W), prof. 16.6 Km",Media,Caution and advice,Related and informative,rt funvisis sismo 2012 11 06 14 24 hlv mag 3 1 mw 28 km al suroeste de san cristobal 7 536 n 72 322 w prof 16 6 km,1,1,2023-01-01 05:00:00
265912993198514178,"@FUNVISIS: #Sismo:2012/11/06 14:24 (HLV), Mag. 3.1 Mw, a 28 Km al suroeste de San Cristobal (7.536 N,-72.322 W), prof. 16.6 Km",Media,Caution and advice,Related and informative,funvisis sismo 2012 11 06 14 24 hlv mag 3 1 mw 28 km al suroeste de san cristobal 7 536 n 72 322 w prof 16 6 km,1,1,2023-01-01 06:00:00
265920492626653184,"Latino América en marcas, #Diseño de la marca país #Guatemala http://t.co/JmigZy2T #martesdemarcas",Not labeled,Not labeled,Not related,latino américa en marcas diseño de la marca país guatemala http co jmigzy2t martesdemarcas,0,0,2023-01-01 07:00:00
266005733445869569,RT @NANOMCDGREAT: Estamos #2 en lo más solicitado en #Guatemala con “EnMiSeFijo” de @NANOMCDGREAT por #RadioManati1015Fm pídelo vía msj  ...,Not labeled,Not labeled,Not related,rt nanomcdgreat estamos 2 en lo más solicitado en guatemala con enmisefijo de nanomcdgreat por radiomanati1015fm pídelo vía msj,0,0,2023-01-01 08:00:00
266048855085305857,"RT @CNNEE: El presidente de #Guatemala @OttoPerezMolina es, hasta ahora, el único mandatario latinoamericano que felicitó a #Obama en Tw ...",Not labeled,Not labeled,Not related,rt cnnee el presidente de guatemala ottoperezmolina es hasta ahora el único mandatario latinoamericano que felicitó obama en tw,0,0,2023-01-01 09:00:00
