Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp,datetime,from,to,distance,cost
203440928084602880,E #Navelli... a che punto siamo? Dov'è il piano di #ricostruzione? #laquila #sisma #terremoto http://t.co/z7ZO4wQ8,Outsiders,Other Useful Information,Related - but not informative,e navelli che punto siamo dov è il piano di ricostruzione laquila sisma terremoto http co z7zo4wq8,0,0,2023-01-01 00:00:00,2023-01-01 00:00:00,317842.0,318711.0,0.872,
203843778409283584,"RT @andmarini: #Modena Strage di Brindisi, alle 18 presidio al Sacrario. A mezzanotte minuto di silenzio al... http://t.co/boE09BWv @gaz ...",Not labeled,Not labeled,Not related,rt andmarini modena strage di brindisi alle 18 presidio al sacrario mezzanotte minuto di silenzio al http co boe09bwv gaz,1,1,2023-01-01 01:00:00,2023-01-01 01:00:00,318721.0,315955.0,1.322,
204030290715348993,#Terremoto ! in alto si sente parecchio,Outsiders,Sympathy and support,Related - but not informative,terremoto alto si sente parecchio,0,2,2023-01-01 02:00:00,2023-01-01 02:00:00,315927.0,318236.0,1.222,
204030617850089472,Inequivocabilmente questa era una scossa di #terremoto,Eyewitness,Sympathy and support,Related - but not informative,inequivocabilmente questa era una scossa di terremoto,0,2,2023-01-01 03:00:00,2023-01-01 03:00:00,318711.0,318721.0,0.233,
204030861119729664,#terremoto #busto #arsizio ore 04.7,Eyewitness,Not applicable,Related - but not informative,terremoto busto arsizio ore 04 7,0,3,2023-01-01 04:00:00,2023-01-01 04:00:00,318236.0,317843.0,1.22,
204032853439283201,"“@perugini: 44.956°N, 11.241°E - 4.2 Magnitudo - Nord ITalia #terremoto http://t.co/Er9s2Pu2”questo e'quello dell'1:13",Eyewitness,Other Useful Information,Related and informative,perugini 44 956 n 11 241 e 4 2 magnitudo nord italia terremoto http co er9s2pu2 questo e quello dell 1 13,2,0,2023-01-01 05:00:00,2023-01-01 05:00:00,315955.0,315938.0,0.239,
204033939772407808,"RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative,rt reuters breaking news 6 3 magnitude earthquake strikes northwest bologna italy usgs,2,0,2023-01-01 06:00:00,2023-01-01 06:00:00,315969.0,315927.0,0.256,
204033969124155392,"RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative,rt reuters breaking news 6 3 magnitude earthquake strikes northwest bologna italy usgs,2,0,2023-01-01 07:00:00,2023-01-01 07:00:00,312346.0,312326.0,0.255,
204034501796569090,RT @silla995: Fokka la bindella il #terremoto,Eyewitness,Not applicable,Related - but not informative,rt silla995 fokka la bindella il terremoto,0,3,2023-01-01 08:00:00,2023-01-01 08:00:00,312343.0,312439.0,0.283,
204034510176780288,"RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative,rt reuters breaking news 6 3 magnitude earthquake strikes northwest bologna italy usgs,2,0,2023-01-01 09:00:00,2023-01-01 09:00:00,312439.0,313114.0,1.85,
