Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp
203440928084602880,E #Navelli... a che punto siamo? Dov'è il piano di #ricostruzione? #laquila #sisma #terremoto http://t.co/z7ZO4wQ8,Outsiders,Other Useful Information,Related - but not informative,e navelli che punto siamo dov è il piano di ricostruzione laquila sisma terremoto http co z7zo4wq8,0,0,2023-01-01 00:00:00
203843778409283584,"RT @andmarini: #Modena Strage di Brindisi, alle 18 presidio al Sacrario. A mezzanotte minuto di silenzio al... http://t.co/boE09BWv @gaz ...",Not labeled,Not labeled,Not related,rt andmarini modena strage di brindisi alle 18 presidio al sacrario mezzanotte minuto di silenzio al http co boe09bwv gaz,1,1,2023-01-01 01:00:00
204030290715348993,#Terremoto ! in alto si sente parecchio,Outsiders,Sympathy and support,Related - but not informative,terremoto alto si sente parecchio,0,2,2023-01-01 02:00:00
204030617850089472,Inequivocabilmente questa era una scossa di #terremoto,Eyewitness,Sympathy and support,Related - but not informative,inequivocabilmente questa era una scossa di terremoto,0,2,2023-01-01 03:00:00
204030861119729664,#terremoto #busto #arsizio ore 04.7,Eyewitness,Not applicable,Related - but not informative,terremoto busto arsizio ore 04 7,0,3,2023-01-01 04:00:00
204032853439283201,"“@perugini: 44.956°N, 11.241°E - 4.2 Magnitudo - Nord ITalia #terremoto http://t.co/Er9s2Pu2”questo e'quello dell'1:13",Eyewitness,Other Useful Information,Related and informative,perugini 44 956 n 11 241 e 4 2 magnitudo nord italia terremoto http co er9s2pu2 questo e quello dell 1 13,2,0,2023-01-01 05:00:00
204033939772407808,"RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative,rt reuters breaking news 6 3 magnitude earthquake strikes northwest bologna italy usgs,2,0,2023-01-01 06:00:00
204033969124155392,"RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative,rt reuters breaking news 6 3 magnitude earthquake strikes northwest bologna italy usgs,2,0,2023-01-01 07:00:00
204034501796569090,RT @silla995: Fokka la bindella il #terremoto,Eyewitness,Not applicable,Related - but not informative,rt silla995 fokka la bindella il terremoto,0,3,2023-01-01 08:00:00
204034510176780288,"RT @Reuters: BREAKING NEWS: 6.3 magnitude earthquake strikes northwest of Bologna, Italy: USGS",Media,Other Useful Information,Related and informative,rt reuters breaking news 6 3 magnitude earthquake strikes northwest bologna italy usgs,2,0,2023-01-01 09:00:00
204034518577975299,RT @pciuccarelli: #terremoto #map http://t.co/DMeBnXEE,Media,Caution and advice,Related and informative,rt pciuccarelli terremoto map http co dmebnxee,2,4,2023-01-01 10:00:00
204034585670062080,"RT @USGSted: Strong earthquake, NORTHERN ITALY, May-20 02:03 UTC, 261 #terremoto tweets/min,  http://t.co/0FKAcV05",Media,Caution and advice,Related and informative,rt usgsted strong earthquake northern italy may 20 02 03 utc 261 terremoto tweets min http co 0fkacv05,2,4,2023-01-01 11:00:00
204034644398702592,Oddio #terremoto.  L'ho sentito solo io alle 4 del mattino?,Eyewitness,Sympathy and support,Related - but not informative,oddio terremoto l ho sentito solo io alle 4 del mattino,0,2,2023-01-01 12:00:00
204035357413605377,10 secondi di forti scosse di terremoto a Vignola di Modena alle 04.00,Eyewitness,Affected individuals,Related and informative,10 secondi di forti scosse di terremoto vignola di modena alle 04 00,2,5,2023-01-01 13:00:00
204035848147177475,"#terremoto i hate dancing at 4 am, so I never go to clubs. Then you wake up and your bed, doors and whole building are dancing with you. O.o",Eyewitness,Affected individuals,Related - but not informative,terremoto hate dancing 4 never go clubs wake bed doors whole building dancing,0,5,2023-01-01 14:00:00
204036393436061696,"ilpost Il terremoto in provincia di Modena: Secondo l’agenzia di stampa Reuters, la scossa sarebbe stata di magn... http://t.co/4dBk6gPX",Media,Other Useful Information,Related and informative,ilpost il terremoto provincia di modena secondo l agenzia di stampa reuters la scossa sarebbe stata di magn http co 4dbk6gpx,2,0,2023-01-01 15:00:00
204036527653785600,RT @Corriereit: #Terremoto avvertito nel Nord sull'asse Emilia-Veneto @Corriereit,Media,Other Useful Information,Related and informative,rt corriereit terremoto avvertito nel nord sull asse emilia veneto corriereit,2,0,2023-01-01 16:00:00
204036984811945984,Arriva prima su #twitter che da altri parti la notizia del #terremoto. Che scorlo cio'!!,Outsiders,Other Useful Information,Related - but not informative,arriva prima su twitter che da altri parti la notizia del terremoto che scorlo cio,0,0,2023-01-01 17:00:00
204037194535542784,grazie a twitter non mi sento più sola #terremoto ma sto ancora tremando di paura :/,Eyewitness,Sympathy and support,Related - but not informative,grazie twitter non mi sento più sola terremoto sto ancora tremando di paura,0,2,2023-01-01 18:00:00
204037236482772992,"【#USGS #alert】 5.9 - NORTHERN ITALY: Date: Sun, 20 May 2012 02:03:53 UTC Lat/Lon:... http://t.co/2xI9nHkc #earthquake #tsunami #zuto",Not labeled,Not labeled,Not related,usgs alert 5 9 northern italy date sun 20 may 2012 02 03 53 utc lat lon http co 2xi9nhkc earthquake tsunami zuto,1,1,2023-01-01 19:00:00
204037731389669376,@Selenelios #umorismomacabroscadente #terremoto io ho sgridato il cane che dorme sotto il letto..,Not labeled,Not labeled,Not related,selenelios umorismomacabroscadente terremoto io ho sgridato il cane che dorme sotto il letto,1,1,2023-01-01 20:00:00
204038352146673664,"RT @Reuters: 5.9-magnitude earthquake strikes near Bologna, Italy  (the earthquake had initially registered at magnitude 6.3) http://t.c ...",Media,Caution and advice,Related and informative,rt reuters 5 9 magnitude earthquake strikes near bologna italy earthquake initially registered magnitude 6 3 http c,2,4,2023-01-01 21:00:00
204038377316683776,"RT @Zebbolo: Magnitudo 5.9 gradi Richter, epicentro a 40km a nord di Bologna. #terremoto",Media,Other Useful Information,Related and informative,rt zebbolo magnitudo 5 9 gradi richter epicentro 40km nord di bologna terremoto,2,0,2023-01-01 22:00:00
204038679298183168,@diedigi @stefanobandera i 3 fanatici del #terremoto :) #vogliodormire,Outsiders,Not applicable,Related - but not informative,diedigi stefanobandera 3 fanatici del terremoto vogliodormire,0,3,2023-01-01 23:00:00
204038981292265472,RT @lucad1: #terremoto visto da twitter #norditalia http://t.co/nZTw0OT7,Media,Other Useful Information,Related and informative,rt lucad1 terremoto visto da twitter norditalia http co nztw0ot7,2,0,2023-01-02 00:00:00
204039077794824192,#terremoto emiliano. Piadina con la scossadella.,Not labeled,Not labeled,Not related,terremoto emiliano piadina con la scossadella,1,1,2023-01-02 01:00:00
204039362973925376,"RT @ilpost: C’è stato un terremoto nel nord Italia, avvertito a Milano, Bologna, Torino e Verona: magnitudo 6.3:  http://t.co/CetVJuv0",Media,Other Useful Information,Related and informative,rt ilpost c è stato un terremoto nel nord italia avvertito milano bologna torino e verona magnitudo 6 3 http co cetvjuv0,2,0,2023-01-02 02:00:00
