Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded
230634706436227073,Philippine floods worsen as death toll hits 14 in wake of ‘Gener’ http://t.co/gnhkYRS6 #Philippines #national,Media,Affected individuals,Related and informative,philippine floods worsen death toll hits 14 wake gener http co gnhkyrs6 philippines national,0,0
230692092911964161,RT @gmanews: Philippine floods worsen as death toll hits 14 in wake of ‘Gener’ http://t.co/I4Fjtg95,Media,Affected individuals,Related and informative,rt gmanews philippine floods worsen death toll hits 14 wake gener http co i4fjtg95,0,0
230882841498628096,Philippine flood fatalities hit 23 http://t.co/1aukg7RA,Media,Other Useful Information,Related and informative,philippine flood fatalities hit 23 http co 1aukg7ra,0,1
232034974851805187,"4 Luzon dams release water; flood warning up: MANILA, Philippines - Four dams in Luzon opened their gates Sunday... http://t.co/kmWDCBFw",Media,Caution and advice,Related and informative,4 luzon dams release water flood warning manila philippines four dams luzon opened gates sunday http co kmwdcbfw,0,2
232098107490439169,RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.,Media,Caution and advice,Related and informative,rt ancalerts pagasa 8 50pm advisory yellow warning metro manila occasional heavy rains next 3 hrs floods possible,0,2
232098111722504192,@ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.,Media,Caution and advice,Related and informative,ancalerts pagasa 8 50pm advisory yellow warning metro manila occasional heavy rains next 3 hrs floods possible,0,2
232098296242524162,RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.,Media,Caution and advice,Related and informative,rt ancalerts pagasa 8 50pm advisory yellow warning metro manila occasional heavy rains next 3 hrs floods possible,0,2
232099369975955456,RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.,Media,Caution and advice,Related and informative,rt ancalerts pagasa 8 50pm advisory yellow warning metro manila occasional heavy rains next 3 hrs floods possible,0,2
232105611121262592,RT @ANCALERTS: PAGASA 8:50pm advisory: Yellow warning for Metro Manila. Occasional heavy rains in next 3 hrs. Floods possible.,Media,Caution and advice,Related and informative,rt ancalerts pagasa 8 50pm advisory yellow warning metro manila occasional heavy rains next 3 hrs floods possible,0,2
232118126941200384,RT @ANCALERTS: PAGASA 10pm advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods in low-lying a ...,Media,Caution and advice,Related and informative,rt ancalerts pagasa 10pm advisory green warning metro manila moderate heavy rains next 3 hrs threat floods low lying,0,2
232165199614992384,RT @ANCALERTS: UP Manila admin &amp; officials will monitor rain&amp;flood situation til 4am. Announcements will be made at the latest 5 ...,Media,Caution and advice,Related and informative,rt ancalerts manila admin amp officials monitor rain amp flood situation til 4am announcements made latest 5,0,2
232214105191243778,RT @ANCALERTS: PAGASA 4am advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods in low-lying ar ...,Government,Caution and advice,Related and informative,rt ancalerts pagasa 4am advisory green warning metro manila moderate heavy rains next 3 hrs threat floods low lying ar,0,2
