Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded
272249982583705600,HOY es nuestro dia @Maria_21_music  #nerea #andres  #diego #gonzalo #elena #jaime #sergio #pablo #anxo,Not labeled,Not labeled,Not related,hoy es nuestro dia maria_21_music nerea andres diego gonzalo elena jaime sergio pablo anxo,0,0
272349584699826176,Yeahh yeahh esa jenga @alejandroalija @Telarera #tocayo #pablo http://t.co/peCCcDlq,Not labeled,Not labeled,Not related,yeahh yeahh esa jenga alejandroalija telarera tocayo pablo http co pecccdlq,0,0
272772643160219648,a Mãe do meu amigo #Pablo. morreu :( ta muito tenso o clima...,Not labeled,Not labeled,Not related,mãe meu amigo pablo morreu ta muito tenso clima,0,0
272774882943717377,Madrinas y apadrinados #SantaCecilia2012 @Carmen_Oboe @juanandres2307 #Pablo http://t.co/q92sofna,Not labeled,Not labeled,Not related,madrinas apadrinados santacecilia2012 carmen_oboe juanandres2307 pablo http co q92sofna,0,0
272806969348337664,11-26-12 | E-Games Attendant | Chada Bingo House | Cagayan de Oro http://t.co/aepte8Im #CDO,Not labeled,Not labeled,Not related,11 26 12 e games attendant chada bingo house cagayan de oro http co aepte8im cdo,0,0
272851147960750080,#el #cumpleaños #de #pablo #escobar #my #dad #birthday #celebration 😀 http://t.co/R5O7L48h,Not labeled,Not labeled,Not related,el cumpleaños de pablo escobar dad birthday celebration http co r5o7l48h,0,0
272859754689351680,"St Scholastica's College, Manila suspends classes according to Sr. Tammy Prado, OSB. #WalangPasok",NGOs,Caution and advice,Related and informative,st scholastica college manila suspends classes according sr tammy prado osb walangpasok,1,1
273085794116304896,RT @weevo #dynamic #designed #QRCode for #CDO #Expandere #Italy | #QR http://t.co/Bkq90a59 http://t.co/XhJONS5H,Not labeled,Not labeled,Not related,rt weevo dynamic designed qrcode cdo expandere italy qr http co bkq90a59 http co xhjons5h,0,0
273116454486949888,En el curso de primeros auxilios con @mvallvey @Tore_Baza95 @drecouvreur #alvaro y #pablo,Not labeled,Not labeled,Not applicable,en el curso de primeros auxilios con mvallvey tore_baza95 drecouvreur alvaro pablo,2,0
273316879278411776,Que grandes @emaemail27 @Ciropee #pablo http://t.co/HWwvlJWH,Not labeled,Not labeled,Not applicable,que grandes emaemail27 ciropee pablo http co hwwvljwh,2,0
273852441563394049,RT @ChandlerGalt: Why CIOs May Morph Into the Chief Digital Officer http://t.co/RtVdo8Nz H/T @TylerBParsons #CIO #CTO #CDO,Not labeled,Not labeled,Not related,rt chandlergalt cios may morph chief digital officer http co rtvdo8nz h tylerbparsons cio cto cdo,0,0
