Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded
238949989634674688,Entre mal estado de Plantas Josefa Camejo y Planta Centro sin Planta Tucacas #Falcon muy mal #sinluz http://t.co/Kt0AFg2O,Not labeled,Not labeled,Not related,entre mal estado de plantas josefa camejo planta centro sin planta tucacas falcon muy mal sinluz http co kt0afg2o,0,0
239006365270548480,vía @vicky_joseph: Privan de libertad a hombre en #Falcón por la muerte de su cónyuge. Le causó varias heridas con un arma blanca.,Not labeled,Not labeled,Not related,vía vicky_joseph privan de libertad hombre en falcón por la muerte de su cónyuge le causó varias heridas con un arma blanca,0,0
239032751645401088,RT @correoorinoco: Ministerio público realiza seminario sobre municipalización de la justicia en #Falcon http://t.co/M3fnXDAv #Zulia #Ve ...,Not labeled,Not labeled,Not related,rt correoorinoco ministerio público realiza seminario sobre municipalización de la justicia en falcon http co m3fnxdav zulia,0,0
239432045183520770,"RT @JIMotaO: Señor pedimos tu paz para esta tierra,#Paraguana paz para mi ciudad, paz para la gente, paz para #Venezuela.",Not labeled,Not labeled,Not related,rt jimotao señor pedimos tu paz para esta tierra paraguana paz para mi ciudad paz para la gente paz para venezuela,0,0
239432879841619969,"Elias Jaua: Fuga de gas generó explosión en refinería de Amuay, dejando 26 muertos y más 86 heridos.",Government,Affected individuals,Related and informative,elias jaua fuga de gas generó explosión en refinería de amuay dejando 26 muertos más 86 heridos,1,1
239433097949634560,"Hoy Falcon amaneció con tristezas y luto, por la fuerte explosión en Amuay, refinería de la península de Paraguaná :(",Outsiders,Sympathy and support,Related - but not informative,hoy falcon amaneció con tristezas luto por la fuerte explosión en amuay refinería de la península de paraguaná,2,2
239433215385952256,VIDEO: Blast hits Venezuelan oil refinery,Outsiders,Not applicable,Related and informative,video blast hits venezuelan oil refinery,1,3
239435396440805376,RT @PuntoFijoGuia: Estamos para servirte #Puntofijo #Falcon #Paraguana si deseas hacer llegar información sobre centros de acopio o volu ...,Outsiders,Not applicable,Related - but not informative,rt puntofijoguia estamos para servirte puntofijo falcon paraguana si deseas hacer llegar información sobre centros de acopio volu,2,3
239435815854436352,Este tweet va dedicado a esos 24 Venezolanos que perdieron la vida #Amuay,Outsiders,Sympathy and support,Related - but not informative,este tweet va dedicado esos 24 venezolanos que perdieron la vida amuay,2,2
239436281451524097,RT @manuelsantanam: Fuerza Punto Fijo! Desde el estado #Monagas nuestra solidaridad con nuestros hermanos de #Falcon,Outsiders,Sympathy and support,Related - but not informative,rt manuelsantanam fuerza punto fijo desde el estado monagas nuestra solidaridad con nuestros hermanos de falcon,2,2
239436369494159360,"El accidente de Amuay es lamentable, mis condolencias y apoyo a ese pueblo que una vez integre como personal de esa refineria",Outsiders,Sympathy and support,Related - but not informative,el accidente de amuay es lamentable mis condolencias apoyo ese pueblo que una vez integre como personal de esa refineria,2,2
239436545663311872,RT @RunRunesWeb: #Top Fotos impactantes de la tragedia en la Refinería de Amuay. - http://t.co/tx7AM0d0,Media,Other Useful Information,Related and informative,rt runrunesweb top fotos impactantes de la tragedia en la refinería de amuay http co tx7am0d0,1,4
239437636203335680,"---»RT @Maricle: Para quienes conocemos la refinería de Amuay y las barriadas en sus alrededores, la ... http://t.co/BMdV3HX6",Outsiders,Infrastructure and utilities,Related - but not informative,rt maricle para quienes conocemos la refinería de amuay las barriadas en sus alrededores la http co bmdv3hx6,2,5
239439964029468674,RT @JessiDuno Lamentable q a más d 12hrs d la tragedia en #Amuay aún no hayan declaraciones serias y responsables del Estado,Outsiders,Other Useful Information,Related - but not informative,rt jessiduno lamentable q más 12hrs la tragedia en amuay aún hayan declaraciones serias responsables del estado,2,4
239441809506455553,"RT @mundoconsola: Por lo sucedido en #Falcón nuestra tienda en @tusambil #Paraguaná NO abrirá el día de hoy, ¡Colaboraremos en el centro ...",Outsiders,Sympathy and support,Related - but not informative,rt mundoconsola por lo sucedido en falcón nuestra tienda en tusambil paraguaná abrirá el día de hoy colaboraremos en el centro,2,2
239442140869046272,"Toda Vzla paralizada con la gran tragedia de larefineria de #Amuay, muchas fuerzas a todas esas familias de los fallecidos...",Outsiders,Sympathy and support,Related - but not informative,toda vzla paralizada con la gran tragedia de larefineria de amuay muchas fuerzas todas esas familias de los fallecidos,2,2
239443294327808000,@adncali:24 personas murieron en explosión de una refinería en Venezuela. Al menos otras 80 personas resultaron heridas http://t.co/iQEZF82O,Media,Affected individuals,Related and informative,adncali 24 personas murieron en explosión de una refinería en venezuela al menos otras 80 personas resultaron heridas http co iqezf82o,1,1
239443554374676480,RT @noticias24: Nuevas imágenes diurnas de la tragedia en la refinería Amuay (actualizado con agencias) - http://t.co/WCuqkoxZ,Media,Other Useful Information,Related and informative,rt noticias24 nuevas imágenes diurnas de la tragedia en la refinería amuay actualizado con agencias http co wcuqkoxz,1,4
239443944411373568,RT @alcaldeledezma: Me pronuncié sobre #Amuay desde #Carapita donde estamos apoyando a familias afectadas por las lluvias! http://t.co/x ...,Government,Other Useful Information,Related - but not informative,rt alcaldeledezma pronuncié sobre amuay desde carapita donde estamos apoyando familias afectadas por las lluvias http co x,2,4
239444334498430976,Que mas sera necesario para aprender y trascender señor mio!!! #Amuay,Not labeled,Not labeled,Not related,que mas sera necesario para aprender trascender señor mio amuay,0,0
239444699390291968,Another reason to go #renewable. God Bless Them RT @CleanEnergyView: Blast at Venezuela's Lgst Oil Refinery Kills 24 http://t.co/fjL7FbuC,Outsiders,Affected individuals,Related and informative,another reason go renewable god bless rt cleanenergyview blast venezuela lgst oil refinery kills 24 http co fjl7fbuc,1,1
239444762317447169,RT @testoysiguiendo: Pero no les garantizaba la vida... Esta era la propaganda de Chávez que estaba en #Amuay (Foto) http://t.co/6OrXjLE ...,Not labeled,Not labeled,Not related,rt testoysiguiendo pero les garantizaba la vida esta era la propaganda de chávez que estaba en amuay foto http co 6orxjle,0,0
239445932528246784,Blast halts Venezuela refinery http://t.co/XQqkwafY,Media,Other Useful Information,Related and informative,blast halts venezuela refinery http co xqqkwafy,1,4
239446339384119296,RT @Forbes: Venezuela Refinery Blast Kills 24 http://t.co/VNt4VuAY,Media,Affected individuals,Related and informative,rt forbes venezuela refinery blast kills 24 http co vnt4vuay,1,1
239450890199781376,RT @la_patilla: Decretados tres días de duelo nacional por la tragedia en refinería de Amuay http://t.co/yPG22Rb2,Media,Other Useful Information,Related and informative,rt la_patilla decretados tres días de duelo nacional por la tragedia en refinería de amuay http co ypg22rb2,1,4
239452911837532162,RT @UNoticias: Suspendidos vuelos comerciales a Falcón #Amuay http://t.co/W8ym7aEA,Media,Other Useful Information,Related and informative,rt unoticias suspendidos vuelos comerciales falcón amuay http co w8ym7aea,1,4
239453956244402177,"RT @Marihelys_fcy: La explosión en #Amuay , no se debió a fuga de gas. SE ORIGINÓ POR FUGA DE CEREBROS EN MATERIA PETROLERA.. @LORENT_ ...",Outsiders,Not applicable,Related - but not informative,rt marihelys_fcy la explosión en amuay se debió fuga de gas se originó por fuga de cerebros en materia petrolera lorent_,2,3
239454161756889089,RT @osoteldo: CNE Suspende simulacro de votación debido a recientes hechos en #Amuay,Outsiders,Other Useful Information,Related - but not informative,rt osoteldo cne suspende simulacro de votación debido recientes hechos en amuay,2,4
239454593774407680,"Lamentable lo ocurrido en la Refinería de Amuay, y sobretodo las perdidas Humanas, otra de las grandes Obras de esta Nesfasta Rebolucion !!",Outsiders,Sympathy and support,Related - but not informative,lamentable lo ocurrido en la refinería de amuay sobretodo las perdidas humanas otra de las grandes obras de esta nesfasta rebolucion,2,2
239454790906695680,"Desde nuestros hogares unidos en una plegaria de Amor, te rogamos Padre por nuestra Venezuela, ten Misericordia de nosotros. #Amuay",Outsiders,Sympathy and support,Related - but not informative,desde nuestros hogares unidos en una plegaria de amor te rogamos padre por nuestra venezuela ten misericordia de nosotros amuay,2,2
239455231317000192,RT @Reuters: Explosion kills 26 at Venezuela's biggest refinery http://t.co/OzUCWXbi,Media,Affected individuals,Related and informative,rt reuters explosion kills 26 venezuela biggest refinery http co ozucwxbi,1,1
239456292438167552,Presidente de #Bolivia Evo Morales expresa solidaridad con el presidente #Chávez por víctimas en explosión de refinería #Amuay,Outsiders,Sympathy and support,Related - but not informative,presidente de bolivia evo morales expresa solidaridad con el presidente chávez por víctimas en explosión de refinería amuay,2,2
239456347001868288,RT @PDVSA: PDVSA garantiza suministro de combustible tras explosión en Amuay http://t.co/5WVlqyZt #Amuay,Government,Other Useful Information,Related and informative,rt pdvsa pdvsa garantiza suministro de combustible tras explosión en amuay http co 5wvlqyzt amuay,1,4
239457072578703360,Garanticen que no Exploten Plantas RT @PDVSA: PDVSA garantiza suministro de combustible tras explosión en Amuay http://t.co/PyK7S09v #Amuay,Business,Other Useful Information,Related and informative,garanticen que exploten plantas rt pdvsa pdvsa garantiza suministro de combustible tras explosión en amuay http co pyk7s09v amuay,1,4
239457739489812480,"RT @Marihelys_fcy: La explosión en #Amuay , no se debió a fuga de gas. SE ORIGINÓ POR FUGA DE CEREBROS EN MATERIA PETROLERA.. @LORENT_ ...",Outsiders,Other Useful Information,Related - but not informative,rt marihelys_fcy la explosión en amuay se debió fuga de gas se originó por fuga de cerebros en materia petrolera lorent_,2,4
239457953407721472,"La verdad me importa muy poco Neil Armstrong, era un ser humano y como todos mueren, y más a su edad,ahora lo de #Amuay eso SÍ es importante",Outsiders,Other Useful Information,Related - but not informative,la verdad importa muy poco neil armstrong era un ser humano como todos mueren más su edad ahora lo de amuay eso sí es importante,2,4
239458020512395264,RT @pollobrito: #Amuay RT @j985fm: equipo de @BrigadasAzules en UCV montará centro de acopio en la facultad odontología d 9am a 3pm,Outsiders,Donations and volunteering,Related and informative,rt pollobrito amuay rt j985fm equipo de brigadasazules en ucv montará centro de acopio en la facultad odontología 9am 3pm,1,6
239458423182348288,RT @ElUniversal: Cronología de accidentes ocurridos en la industria petrolera durante 2012 #Amuay #PuntoFijo http://t.co/9ovMVoLP,Media,Other Useful Information,Related and informative,rt eluniversal cronología de accidentes ocurridos en la industria petrolera durante 2012 amuay puntofijo http co 9ovmvolp,1,4
239458720940163073,"RT @DragonFly2768: ATENCION: #Amuay #FarmaSol20 Se solicitan medicamentos especificos como PROTOSULFIL, SILVEDERMA y SULFADIAZINA de PLA ...",NGOs,Donations and volunteering,Related and informative,rt dragonfly2768 atencion amuay farmasol20 se solicitan medicamentos especificos como protosulfil silvederma sulfadiazina de pla,1,6
239459094262587392,RT @andregarcialz: Dicen que no es culpa de nadie ¿entonces de quien es culpa lo de #amuay? Seguro fueron los duendes que nos hacian el  ...,Outsiders,Not applicable,Related - but not informative,rt andregarcialz dicen que es culpa de nadie entonces de quien es culpa lo de amuay seguro fueron los duendes que nos hacian el,2,3
