Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp
347686624563429378,"RT @CBCAlerts: Canmore, Alta. declares state of emergency due to flooding  - with some residents being moved to community centre #Alberta",Media,Affected individuals,Related and informative,rt cbcalerts canmore alta declares state emergency due flooding residents moved community centre alberta,0,0,2023-01-01 00:00:00
347766337344503808,"RT @GlobalCalgary: If you are in #Canmore and need help, an emergency line has been set up. Pls call 403-678-1551. #abstorm #abflood",Media,Caution and advice,Related and informative,rt globalcalgary canmore need help emergency line set pls call 403 678 1551 abstorm abflood,0,1,2023-01-01 01:00:00
347779159327637504,RT @metrocalgary: UPDATE: Latest from the @cityofcalgary and surrounding area on #abflood: http://t.co/lkA9L9zSvT #yyc,Government,Caution and advice,Related and informative,rt metrocalgary update latest cityofcalgary surrounding area abflood http co lka9l9zsvt yyc,0,1,2023-01-01 02:00:00
347783236191129600,"RT @GlobalCalgary: GALLERY: Incredible photos of flooding around southern Alberta, inc. Canmore, Bragg Creek, Chain Lakes: http://t.co/E79r…",Media,Not applicable,Related and informative,rt globalcalgary gallery incredible photos flooding around southern alberta inc canmore bragg creek chain lakes http co e79r,0,2,2023-01-01 03:00:00
347793432514801665,RT @nenshi: Major risk of flooding in Calgary. Follow directions here: http://t.co/7dLx8aZptf and stay tuned. Please RT widely. #YYC,Government,Caution and advice,Related and informative,rt nenshi major risk flooding calgary follow directions http co 7dlx8azptf stay tuned please rt widely yyc,0,1,2023-01-01 04:00:00
347793818403344384,RT @weathernetwork: RT: Residents of #HighRiver AB asked to evacuate immediately. Severe and rapid flooding occurring. #abstorm #abflood,Media,Affected individuals,Related and informative,rt weathernetwork rt residents highriver ab asked evacuate immediately severe rapid flooding occurring abstorm abflood,0,0,2023-01-01 05:00:00
347802211222433792,RT @BrockWHarrison: . @ElectDanielle and other volunteers now stranded inside High River General Hospital until water recedes. #abflood #ab…,NGOs,Affected individuals,Related and informative,rt brockwharrison electdanielle volunteers stranded inside high river general hospital water recedes abflood ab,0,0,2023-01-01 06:00:00
347804916514951168,Lots of #abflood updates on our liveblog http://t.co/tJK7Cx7yiR,Media,Other Useful Information,Related and informative,lots abflood updates liveblog http co tjk7cx7yir,0,3,2023-01-01 07:00:00
347808955663257600,RT @aldjohnmar: Our first Emergency Shelter will be the Southland Leisure Centre. #yyc #yyccc #yycflood,NGOs,Infrastructure and utilities,Related and informative,rt aldjohnmar first emergency shelter southland leisure centre yyc yyccc yycflood,0,4,2023-01-01 08:00:00
347812738900320256,'Move to high ground:' Rapid flooding forces evacuation of High River http://t.co/XFwGrt6lXm #yyc #Calgary #yycre #reincal,Media,Caution and advice,Related and informative,move high ground rapid flooding forces evacuation high river http co xfwgrt6lxm yyc calgary yycre reincal,0,1,2023-01-01 09:00:00
347815712670236672,RT @News1130radio: Due to widespread flooding parts of Calgary are being evacuated.  Ppl are asked to find shelter and to be prepared for t…,Media,Caution and advice,Related and informative,rt news1130radio due widespread flooding parts calgary evacuated ppl asked find shelter prepared,0,1,2023-01-01 10:00:00
347819248455913473,"RT @TarzanDan: If you are in #Canmore &amp; need help, an emergency line has been set up. Please call 403-678-1551 #abstorm #abflood",NGOs,Caution and advice,Related and informative,rt tarzandan canmore amp need help emergency line set please call 403 678 1551 abstorm abflood,0,1,2023-01-01 11:00:00
347828509512724480,Calgary is now in a local state of emergency. Lots of evacuations and road closures. Stay safe!!  #yycflood #yyc,Eyewitness,Infrastructure and utilities,Related and informative,calgary local state emergency lots evacuations road closures stay safe yycflood yyc,0,4,2023-01-01 12:00:00
347830497596030976,RT @SunNewsNetwork: UPDATED: Parts of Calgary evacuated after heavy rains flood southern Alberta http://t.co/2isLI0fVwR,Media,Affected individuals,Related and informative,rt sunnewsnetwork updated parts calgary evacuated heavy rains flood southern alberta http co 2isli0fvwr,0,0,2023-01-01 13:00:00
347831286116794368,RT @brennancreative: This sign in Okotoks reminds of Walking Dead/zombie apocalypse stuff. #abflood http://t.co/3QmOIb18Oz,Eyewitness,Affected individuals,Related and informative,rt brennancreative sign okotoks reminds walking dead zombie apocalypse stuff abflood http co 3qmoib18oz,0,0,2023-01-01 14:00:00
347831613293473793,“@Van_city_Nucks: All people evacuating the flooding in Alberta can just use Taylor Halls forehead as a life raft and get to safety”@RimSan_,Outsiders,Other Useful Information,Related and informative,van_city_nucks people evacuating flooding alberta use taylor halls forehead life raft get safety rimsan_,0,3,2023-01-01 15:00:00
347834360541614080,RT @GlobalCalgary: The town of #Sundre has declared a state of local emergency due to flooding along the Red Deer River. #abflood,Media,Caution and advice,Related and informative,rt globalcalgary town sundre declared state local emergency due flooding along red deer river abflood,0,1,2023-01-01 16:00:00
347834796774400000,RT @mikesbloggity: Water now flowing over the pathway to Prince's Island Park. #abflood http://t.co/7hT6o9QDyO,Eyewitness,Infrastructure and utilities,Related and informative,rt mikesbloggity water flowing pathway prince island park abflood http co 7ht6o9qdyo,0,4,2023-01-01 17:00:00
347835581105057792,RT @cityofcalgary: Due to flooding a closure of the two eastbound lanes on Memorial Dr between 5A St and Centre St NW is planned. #yycflood,Government,Infrastructure and utilities,Related and informative,rt cityofcalgary due flooding closure two eastbound lanes memorial dr 5a st centre st nw planned yycflood,0,4,2023-01-01 18:00:00
347839322420019200,RT @ChrisScottWx: RT @echo_bryanpass Motorists contend with cascading water over Highway 3 by Crowsnest Lake #abflood http://t.co/4oOJkshOC4,Media,Not applicable,Related and informative,rt chrisscottwx rt echo_bryanpass motorists contend cascading water highway 3 crowsnest lake abflood http co 4oojkshoc4,0,2,2023-01-01 19:00:00
347851469103431680,Evac order only for affected areas or entire neighborhood (eg mission at 19 ave)?  @calgarypolice #yycflood map http://t.co/n6WhiwPzXD,Government,Caution and advice,Related and informative,evac order affected areas entire neighborhood eg mission 19 ave calgarypolice yycflood map http co n6whiwpzxd,0,1,2023-01-01 20:00:00
347852572230553601,Rainfall warning ended for Calgary but flooding potential still exists: http://t.co/4KwPzRMZHP #yyc @ctvnews,Media,Caution and advice,Related and informative,rainfall warning ended calgary flooding potential still exists http co 4kwpzrmzhp yyc ctvnews,0,1,2023-01-01 21:00:00
347855868936732672,RT @Edmontonsun: #StateofEmergency in southern Alberta. Hwy's closed evecuations ongoing Rain continues #Flood  http://t.co/Y0n6Qnp3LG http…,Government,Infrastructure and utilities,Related and informative,rt edmontonsun stateofemergency southern alberta hwy closed evecuations ongoing rain continues flood http co y0n6qnp3lg http,0,4,2023-01-01 22:00:00
347860566561390593,"RT @CgyCA: UPDATE: Erlton, Victoria Park, Cliff Bungalow and Inglewood added to #yyc evacuation order because of flooding. #abflood",Media,Caution and advice,Related and informative,rt cgyca update erlton victoria park cliff bungalow inglewood added yyc evacuation order flooding abflood,0,1,2023-01-01 23:00:00
347866593793024000,"RT @CBCCalgary: City of Calgary expecting 75,000 to 100,000 people in #yyc will be forced from their homes because of flooding. #abflood",Media,Affected individuals,Related and informative,rt cbccalgary city calgary expecting 75 000 100 000 people yyc forced homes flooding abflood,0,0,2023-01-02 00:00:00
347868816765763584,"At risk of drowning today, heavy rain all night. Thank goodness I live high up on a hill. Be safe yall. #abflood #yyc #yycflood",Eyewitness,Sympathy and support,Related - but not informative,risk drowning today heavy rain night thank goodness live high hill safe yall abflood yyc yycflood,1,5,2023-01-02 01:00:00
347872579039662080,RT @yuppielove: emergency alert just came on the radio &amp; tv. Bowness &amp; Sunnyside on are on overland flooding alert. #yycflood #yyc,Eyewitness,Caution and advice,Related and informative,rt yuppielove emergency alert came radio amp tv bowness amp sunnyside overland flooding alert yycflood yyc,0,1,2023-01-02 02:00:00
347873627632439296,RT @weathernetwork: Insane photo of flooded parkade in Discovery Ridge via @GlobalCalgary: http://t.co/xAjppUJU6Y. #yyc #abflood,Media,Infrastructure and utilities,Related and informative,rt weathernetwork insane photo flooded parkade discovery ridge via globalcalgary http co xajppuju6y yyc abflood,0,4,2023-01-02 03:00:00
347878031651635201,Bridge at Edworthy park #yycflood @ Edworthy Park http://t.co/wkkQLhftRj,Eyewitness,Infrastructure and utilities,Related and informative,bridge edworthy park yycflood edworthy park http co wkkqlhftrj,0,4,2023-01-02 04:00:00
347878786630574081,"Wow, I've never seen the river this high before.  #abflooding #yycflood",Eyewitness,Affected individuals,Related - but not informative,wow never seen river high abflooding yycflood,1,0,2023-01-02 05:00:00
347880648901537792,Shakespeare in the park. #abflood http://t.co/XW4Fn27tVy,Eyewitness,Other Useful Information,Related - but not informative,shakespeare park abflood http co xw4fn27tvy,1,3,2023-01-02 06:00:00
347881596789067778,RT @bpincott: @cityofcalgary: Maps of the Sunnyside and Bowness evacuations can be found here: http://t.co/qbFPVnl9vr #yycflood #yyccc,Government,Affected individuals,Related and informative,rt bpincott cityofcalgary maps sunnyside bowness evacuations found http co qbfpvnl9vr yycflood yyccc,0,0,2023-01-02 07:00:00
347884541186297856,The pictures of the flood in Calgary and Southern Alberta is just so heartbreaking! #abflood #heartbreaking #staysafe,Outsiders,Sympathy and support,Related - but not informative,pictures flood calgary southern alberta heartbreaking abflood heartbreaking staysafe,1,5,2023-01-02 08:00:00
347887263289597953,RT @consumersos: Praying for the people in my hometown #Calgary tonight as waters rise. My high school St.Mary's in flood Zone too....,Outsiders,Sympathy and support,Related - but not informative,rt consumersos praying people hometown calgary tonight waters rise high school st mary flood zone,1,5,2023-01-02 09:00:00
347887946986295296,RT @cityofcalgary: Due to rising water levels the lower deck of Centre Street bridge has been closed. Be careful #yycflood,Government,Infrastructure and utilities,Related and informative,rt cityofcalgary due rising water levels lower deck centre street bridge closed careful yycflood,0,4,2023-01-02 10:00:00
347901205177044992,RT @Crackmacs: Bowness Park. Not much left #yyc #yycflood #abflood http://t.co/aVvCmLIXh7,Eyewitness,Infrastructure and utilities,Related and informative,rt crackmacs bowness park much left yyc yycflood abflood http co avvcmlixh7,0,4,2023-01-02 11:00:00
347901683310944256,RT @CBCMeg: Our @CBCCalgary building is in evacuation zone. Staff leaving now. We still have reporters &amp; shooters across SAb &amp; #yyc #abflood,Media,Infrastructure and utilities,Related and informative,rt cbcmeg cbccalgary building evacuation zone staff leaving still reporters amp shooters across sab amp yyc abflood,0,4,2023-01-02 12:00:00
347903776277008384,RT @katiessummers: @CalgaryPolice please keep us updated on when/if volunteers will be needed - I'd love to help in any way I can #abflood …,Government,Donations and volunteering,Related and informative,rt katiessummers calgarypolice please keep us updated volunteers needed love help way abflood,0,6,2023-01-02 13:00:00
347904308957814784,RT @tvchick13: City 8pm Update:  Roads in downtown core being closed.  Memorial Drive closed. #YYC #ABflood #flood,Media,Infrastructure and utilities,Related and informative,rt tvchick13 city 8pm update roads downtown core closed memorial drive closed yyc abflood flood,0,4,2023-01-02 14:00:00
347904782914174977,RT @weathernetwork: AHS has released a Boil Water Advisory for the Calgary Zone. http://t.co/r4cc0t8eMP  #yyc #yycflood #abstorm #abflood (…,Media,Caution and advice,Related and informative,rt weathernetwork ahs released boil water advisory calgary zone http co r4cc0t8emp yyc yycflood abstorm abflood,0,1,2023-01-02 15:00:00
347905873420619776,RT @SAITPolytechnic: We've opened residences to those evacuated due to #yycflood. If you need lodging visit an #ABemerg Response centre fir…,Business,Donations and volunteering,Related and informative,rt saitpolytechnic opened residences evacuated due yycflood need lodging visit abemerg response centre fir,0,6,2023-01-02 16:00:00
347907664409395200,RT @sassystuff: RT @AHS_media: City of Calgary NOT under boil water order. #yyc #abflood,Government,Not applicable,Related and informative,rt sassystuff rt ahs_media city calgary boil water order yyc abflood,0,2,2023-01-02 17:00:00
347911137267953664,Tornado warning in #edmonton then flood in #calgary? #thethingsidealwith #staysafe,Eyewitness,Other Useful Information,Related - but not informative,tornado warning edmonton flood calgary thethingsidealwith staysafe,1,3,2023-01-02 18:00:00
347912009691578368,RT @ShaneKeller: #HighRiver Man swims after his cat Momo.. #abflood #yycflood #incredible http://t.co/5SRjMiEjVP,Eyewitness,Affected individuals,Related - but not informative,rt shanekeller highriver man swims cat momo abflood yycflood incredible http co 5srjmiejvp,1,0,2023-01-02 19:00:00
347912521400860672,Hard to believe 2 weeks ago I was in Calgary and it was beautiful.  I hope evryone keeps safe. #abflood,Outsiders,Sympathy and support,Related - but not informative,hard believe 2 weeks ago calgary beautiful hope evryone keeps safe abflood,1,5,2023-01-02 20:00:00
347914475933941760,RT @nenshi: The City of Calgary newsroom is also a good source for the latest releases about #yycflood http://t.co/wA29b1US4g,Government,Caution and advice,Related and informative,rt nenshi city calgary newsroom also good source latest releases yycflood http co wa29b1us4g,0,1,2023-01-02 21:00:00
347914811511808001,"RT @CalgaryPolice: Many communities having power and gas cut-off. You may not see #yycflood, but you’ll have no utilities either. Please ev…",Government,Infrastructure and utilities,Related and informative,rt calgarypolice many communities power gas cut may see yycflood utilities either please ev,0,4,2023-01-02 22:00:00
347915021206036481,This guy is telling it how it is! Hilarious. Be careful Calgary! Severe Thunderstorm Watch! http://t.co/BlAMOEdYrU via @youtube #flood #rain,Outsiders,Caution and advice,Related - but not informative,guy telling hilarious careful calgary severe thunderstorm watch http co blamoedyru via youtube flood rain,1,1,2023-01-02 23:00:00
