Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp,datetime,from,to,distance,cost
388923108922781697,"It's ridiculous,,,RT @ThatGuyTiisetso: #redoctober making people so emotional its crazy",Not labeled,Not labeled,Not related,ridiculous rt thatguytiisetso redoctober making people emotional crazy,0,0,2023-01-01 00:00:00,2023-01-01 00:00:00,317842.0,318711.0,0.872,
388929052247347200,A Total Fire Ban has been declared for the Greater Sydney Region on Sunday 13th October 2013 between 12:00am -... http://t.co/4kwIvUGNUj,Media,Caution and advice,Related and informative,total fire ban declared greater sydney region sunday 13th october 2013 12 00am http co 4kwivugnuj,1,1,2023-01-01 01:00:00,2023-01-01 01:00:00,318721.0,315955.0,1.322,
388945930130841600,NSW National Parks &amp; Wildlife Service have again advised that tomorrow - Sunday 13 October - due to EXTREME fire... http://t.co/N7aBbvgQJj,Government,Caution and advice,Related and informative,nsw national parks amp wildlife service advised tomorrow sunday 13 october due extreme fire http co n7abbvgqjj,1,1,2023-01-01 02:00:00,2023-01-01 02:00:00,315927.0,318236.0,1.222,
388955358901067776,Fire Danger Update - Tomorrow signs will be on VERY HIGH - http://t.co/arvGu19d4d Southern Ranges Region #NSWRFS Permits Suspended,Government,Caution and advice,Related and informative,fire danger update tomorrow signs high http co arvgu19d4d southern ranges region nswrfs permits suspended,1,1,2023-01-01 03:00:00,2023-01-01 03:00:00,318711.0,318721.0,0.233,
388970580026089472,This #RedOctober shit is just the beginning of what's gonna happen after Mandela passes,Not labeled,Not labeled,Not related,redoctober shit beginning gon na happen mandela passes,0,0,2023-01-01 04:00:00,2023-01-01 04:00:00,318236.0,317843.0,1.22,
388972203242704896,You can't be supporting #RedOctober mr white man if your maid / cook / helper is black she gon poison yo food just chill,Not labeled,Not labeled,Not related,supporting redoctober mr white man maid cook helper black gon poison yo food chill,0,0,2023-01-01 05:00:00,2023-01-01 05:00:00,315955.0,315938.0,0.239,
388986124107927553,RT @smh: Do not light fires in the open: RFS warns as #Sydney braces for strong winds and hot weather on Sunday. http://t.co/4Y6lLeUeXa,Media,Caution and advice,Related and informative,rt smh light fires open rfs warns sydney braces strong winds hot weather sunday http co 4y6lleuexa,1,1,2023-01-01 06:00:00,2023-01-01 06:00:00,315969.0,315927.0,0.256,
389004092536000512,#3 READ IT !!! Proves #REDOCTOBER was not for racist reasons!! Drop the shit people lets make our country for every1 http://t.co/4Ddxrf0ijn,Not labeled,Not labeled,Not related,3 read proves redoctober racist reasons drop shit people lets make country every1 http co 4ddxrf0ijn,0,0,2023-01-01 07:00:00,2023-01-01 07:00:00,312346.0,312326.0,0.255,
389060656928157696,#RedOctober is disgusting. Racist fools; a movement driven by haggard Afrikaans singers trying to sell CDs. Gullible folks supporting it.,Not labeled,Not labeled,Not related,redoctober disgusting racist fools movement driven haggard afrikaans singers trying sell cds gullible folks supporting,0,0,2023-01-01 08:00:00,2023-01-01 08:00:00,312343.0,312439.0,0.283,
389061734847500288,"@mynameisjerm it's no coincident that #RedOctober commemorates menstrual cycle, give them time to mourn the bloodshed",Not labeled,Not labeled,Not related,mynameisjerm coincident redoctober commemorates menstrual cycle give time mourn bloodshed,0,0,2023-01-01 09:00:00,2023-01-01 09:00:00,312439.0,313114.0,1.85,
