Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded
389654490653396992,RT @mariexplorer: Good morning #cebu #sea #paradise #philippines #ocean http://t.co/lMOuXMRIZe,Not labeled,Not labeled,Not related,rt mariexplorer good morning cebu sea paradise philippines ocean http co lmouxmrize,0,0
389896900444319744,Where is Liloan Central Field and how do we get there? What are the landmarks? Thank you. @CebuRetweets #cebu,Not labeled,Not labeled,Not related,liloan central field get landmarks thank ceburetweets cebu,0,0
389908166353231872,"Earthquake in Iloilo, Philippines! My head's aching.",Eyewitness,Sympathy and support,Related - but not informative,earthquake iloilo philippines head aching,1,1
389909609190006784,"RT @LastQuake: NEW: Felt #earthquake M7.0 - Bohol, Philippines - October 15, 2013, 00:12 UTC (7 min ago) http://t.co/Q2wT2fxoH0",Outsiders,Other Useful Information,Related and informative,rt lastquake new felt earthquake m7 0 bohol philippines october 15 2013 00 12 utc 7 min ago http co q2wt2fxoh0,2,2
389910137676107776,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Media,Other Useful Information,Related and informative,rt newearthquake 7 2 earthquake 2km nueva vida sur philippines oct 15 08 12 epicenter 10m ago 25km tagbilaran depth http,2,2
389910670361100288,"RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS",Media,Other Useful Information,Related and informative,rt gmanews magnitude 7 2 earthquake 2km south carmen nueva vida sur philippines via newearthquake usgs,2,2
389911173665001472,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Media,Other Useful Information,Related and informative,rt newearthquake 7 2 earthquake 2km nueva vida sur philippines oct 15 08 12 epicenter 10m ago 25km tagbilaran depth http,2,2
389911358214393856,"RT @gmanews: JUST IN: Magnitude 7.2 earthquake: 2km south of Carmen and Nueva Vida Sur, Philippines. | via @NewEarthquake @USGS",Media,Other Useful Information,Related and informative,rt gmanews magnitude 7 2 earthquake 2km south carmen nueva vida sur philippines via newearthquake usgs,2,2
389911794442964992,RT @BreakingNews: 7.2 earthquake recorded in the Philippines' Bohol province - @usgs http://t.co/sVOzYsZR5X,Media,Other Useful Information,Related and informative,rt breakingnews 7 2 earthquake recorded philippines bohol province usgs http co svozyszr5x,2,2
389911937040932864,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Media,Other Useful Information,Related and informative,rt newearthquake 7 2 earthquake 2km nueva vida sur philippines oct 15 08 12 epicenter 10m ago 25km tagbilaran depth http,2,2
389911949644808193,"RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…",Media,Other Useful Information,Related and informative,rt newearthquake 7 2 earthquake 2km nueva vida sur philippines oct 15 08 12 epicenter 10m ago 25km tagbilaran depth http,2,2
389912536834793475,"RT @NWS_PTWC: NO widespread tsunami hazard for 7.2 magnitude earthquake in Mindanao,  Philippines #tsunami #PTWC http://t.co/lwjSP8Su1p",Media,Other Useful Information,Related and informative,rt nws_ptwc widespread tsunami hazard 7 2 magnitude earthquake mindanao philippines tsunami ptwc http co lwjsp8su1p,2,2
389912650068402177,"Southern Philippines hit by 7.4 magnitude earthquake, no threat of Pacific-wide tsunami.",Media,Caution and advice,Related and informative,southern philippines hit 7 4 magnitude earthquake threat pacific wide tsunami,2,3
389913535074926593,Bendícenos Señor por el terremoto terrible. #PrayforPhilippines #Philippines #Dumaguete #earthquake,Not applicable,Sympathy and support,Related - but not informative,bendícenos señor por el terremoto terrible prayforphilippines philippines dumaguete earthquake,1,1
389913589596704768,RT @LanceUlanoff: 7.2 Earthquake in Philippines just now http://t.co/MeXQZHjdNt via: @dorybenami,Outsiders,Other Useful Information,Related and informative,rt lanceulanoff 7 2 earthquake philippines http co mexqzhjdnt via dorybenami,2,2
389913644131045376,"RT @ABC7: #EARTHQUAKE Quake with prelim mag of 7.2 struck Philippines, 25 miles east-northeast of Tagbilaran, Bohoi; no tsunami warning yet",Media,Caution and advice,Related and informative,rt abc7 earthquake quake prelim mag 7 2 struck philippines 25 miles east northeast tagbilaran bohoi tsunami warning yet,2,3
389913971287154688,RT @RT_com: #BREAKING: 7.2 quake hits southern #Philippines; no threat of Pacific-wide tsunami http://t.co/0J6Eg19Gws,Media,Other Useful Information,Related and informative,rt rt_com breaking 7 2 quake hits southern philippines threat pacific wide tsunami http co 0j6eg19gws,2,2
