Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded
376843697943769088,#Longmont #CO The Tiny Tim Center is now #hiring. Book Keeper http://t.co/l4m5iSOmTw #tweetmyjobs,Not labeled,Not labeled,Not related,longmont co tiny tim center hiring book keeper http co l4m5isomtw tweetmyjobs,0,0
378011169883037697,"RT @dlfluegge: Crazy Flooding in Boulder, Colorado http://t.co/sg0iIdqCeY via @youtube",Media,Sympathy and support,Related - but not informative,rt dlfluegge crazy flooding boulder colorado http co sg0iidqcey via youtube,1,1
378020179214491649,Here's the #boulderflood video that's circulating around. Right in my old neighborhood west of CU! #StaySafe  http://t.co/eMPbOeBk7M”,Outsiders,Other Useful Information,Related and informative,boulderflood video circulating around right old neighborhood west cu staysafe http co empboebk7m,2,2
378026101588496385,RT @passantino: Video: Severe flooding hits near Univ. of Colorado at Boulder http://t.co/7jkJogCjDH,Media,Other Useful Information,Related and informative,rt passantino video severe flooding hits near univ colorado boulder http co 7jkjogcjdh,2,2
378029784204206080,"Crazy Flooding in Boulder, Colorado http://t.co/3IgoyaAfWE",Media,Other Useful Information,Related and informative,crazy flooding boulder colorado http co 3igoyaafwe,2,2
378038458024865792,Thoughts and prayers out to those in Boulder who may not get to Amante for morning coffee. #boulderflood,Outsiders,Sympathy and support,Related - but not informative,thoughts prayers boulder may get amante morning coffee boulderflood,1,1
378042534863192064,what... “@AmyZPhD: @JuggleGod They are saying South Boulder Creek near Eldo Sprgs is past #100yearflood levels #boulderflood”,Outsiders,Other Useful Information,Related and informative,amyzphd jugglegod saying south boulder creek near eldo sprgs past 100yearflood levels boulderflood,2,2
378043411468537856,"GO TO http://t.co/ypwkPv2eDM  AND★RT★FOR★NEW★FOLLOWERS★✔#BestRapper,#PutinsFavoriteFlicks,#Remember911,#boulderflood, http://t.co/o5XvzjcpxD",Not labeled,Not labeled,Not related,go http co ypwkpv2edm rt new followers bestrapper putinsfavoriteflicks remember911 boulderflood http co o5xvzjcpxd,0,0
378043948352024576,RT @markloiseau: Boulder's floodplain map http://t.co/Y4wcyyo7k7 #boulderflood,Outsiders,Other Useful Information,Related and informative,rt markloiseau boulder floodplain map http co y4wcyyo7k7 boulderflood,2,2
378044472661000192,Who's tryin to tube on boulder creek right now? #boulderflood,Outsiders,Other Useful Information,Related - but not informative,tryin tube boulder creek right boulderflood,1,2
378045630251147265,RT @dailycamera: VIDEO: Flooding at 28th St underpass in #Boulder tonight http://t.co/JhQBnOZWiF #boulderflood,Media,Infrastructure and utilities,Related and informative,rt dailycamera video flooding 28th st underpass boulder tonight http co jhqbnozwif boulderflood,2,3
378046271996440576,RT @BoulderCh1News: scanner #boulderflood reports Lee Road rock slide road is closed,Media,Infrastructure and utilities,Related and informative,rt boulderch1news scanner boulderflood reports lee road rock slide road closed,2,3
378047710659502080,"RT @elaine: With the #Boulderflood, remember to check and trust your sources before you Retweet. Don't go around spreading false informatio…",Outsiders,Caution and advice,Related - but not informative,rt elaine boulderflood remember check trust sources retweet go around spreading false informatio,1,4
378048146850328576,"Pray for Boulder, Colorado #boulderflood",Outsiders,Sympathy and support,Related - but not informative,pray boulder colorado boulderflood,1,1
378049119924674561,RT @ShoutSteph: And I thought living on boulder creek would be a good thing... #flashflood #boulderflood #bouldercreek http://t.co/fe1LuXPp…,Eyewitness,Other Useful Information,Related - but not informative,rt shoutsteph thought living boulder creek would good thing flashflood boulderflood bouldercreek http co fe1luxpp,1,2
378050260792119297,"Evacuation order for the town of #Jamestown, #CO. Torrential #flooding rain in the Front Range Urban Corridor, N of I-70 #COwx #Boulderflood",Outsiders,Caution and advice,Related and informative,evacuation order town jamestown co torrential flooding rain front range urban corridor n 70 cowx boulderflood,2,4
