Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp,datetime,from,to,distance,cost
406495271334719488,My car air freshener is better than yours #helicopter #bigkid http://t.co/QWTLwABs8r,Not labeled,Not labeled,Not related,car air freshener better helicopter bigkid http co qwtlwabs8r,0,0,2023-01-01 00:00:00,2023-01-01 00:00:00,317842.0,318711.0,0.872,
406553907700449280,RT @jimmurphymp: Terrible here in Glasgow Helicopter crashed into roof of pub,Outsiders,Other Useful Information,Related and informative,rt jimmurphymp terrible glasgow helicopter crashed roof pub,1,1,2023-01-01 01:00:00,2023-01-01 01:00:00,318721.0,315955.0,1.322,
406555220513394688,RT @BabaWho: Helicopter 'crashes into pub in Glasgow' http://t.co/XBScbvZD3x THE CLUTHA BAR,Media,Other Useful Information,Related and informative,rt babawho helicopter crashes pub glasgow http co xbscbvzd3x clutha bar,1,1,2023-01-01 02:00:00,2023-01-01 02:00:00,315927.0,318236.0,1.222,
406555392492462080,RT @ScottishSun: BREAKING: A helicopter has crashed in to the roof of a Glasgow City Centre pub. More to follow.,Media,Other Useful Information,Related and informative,rt scottishsun breaking helicopter crashed roof glasgow city centre pub follow,1,1,2023-01-01 03:00:00,2023-01-01 03:00:00,318711.0,318721.0,0.233,
406555799344136193,RT @SkyNewsBreak: Labour MP Jim Murphy says a helicopter has crashed into the roof of a pub in Glasgow,Media,Infrastructure and utilities,Related and informative,rt skynewsbreak labour mp jim murphy says helicopter crashed roof pub glasgow,1,2,2023-01-01 04:00:00,2023-01-01 04:00:00,318236.0,317843.0,1.22,
406556302643822592,Anybody heard anything about a helicopter crashing into a pub in Glasgow ???,Outsiders,Sympathy and support,Related - but not informative,anybody heard anything helicopter crashing pub glasgow,2,3,2023-01-01 05:00:00,2023-01-01 05:00:00,315955.0,315938.0,0.239,
406557292516368384,RT @scott7stevenson: Terrible news of a helicopter crashing into the Clutha in Glasgow. Hope everyone is ok http://t.co/alSV2fg6qS,Outsiders,Sympathy and support,Related - but not informative,rt scott7stevenson terrible news helicopter crashing clutha glasgow hope everyone ok http co alsv2fg6qs,2,3,2023-01-01 06:00:00,2023-01-01 06:00:00,315969.0,315927.0,0.256,
406557414130212864,Wtf a helicopter has crashed in a pub in Glasgow? ????? The Clutha or suhin at the clyde side,Outsiders,Infrastructure and utilities,Related - but not informative,wtf helicopter crashed pub glasgow clutha suhin clyde side,2,2,2023-01-01 07:00:00,2023-01-01 07:00:00,312346.0,312326.0,0.255,
406557539992875008,RT @SkyNewsBreak: Update - Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow,Media,Affected individuals,Related and informative,rt skynewsbreak update reports multiple people trapped helicopter crashes roof pub glasgow,1,4,2023-01-01 08:00:00,2023-01-01 08:00:00,312343.0,312439.0,0.283,
406557665788436480,RT @ZoraSuleman: A helicopter has crashed into a pub in Glasgow https://t.co/LwKvrrj44n,Outsiders,Other Useful Information,Related and informative,rt zorasuleman helicopter crashed pub glasgow https co lwkvrrj44n,1,1,2023-01-01 09:00:00,2023-01-01 09:00:00,312439.0,313114.0,1.85,
406557728715591680,Helicopter crash in Glasgow not sounding good :(,Outsiders,Sympathy and support,Related - but not informative,helicopter crash glasgow sounding good,2,3,2023-01-01 10:00:00,2023-01-01 10:00:00,313111.0,317853.0,1.031,
406557741314879488,"RT @BBCBreaking: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi",Media,Other Useful Information,Related and informative,rt bbcbreaking helicopter crashes pub banks river clyde glasgow mp jim murphy tells bbc news http co laqrtqflni,1,1,2023-01-01 11:00:00,2023-01-01 11:00:00,313114.0,313111.0,0.218,
406557946819379200,"RT @sportingintel: A helicopter has apparently crashed into a bar in Glasgow, the Clutha. Updates via @scotscribbler and others.",Outsiders,Infrastructure and utilities,Related and informative,rt sportingintel helicopter apparently crashed bar glasgow clutha updates via scotscribbler others,1,2,2023-01-01 12:00:00,2023-01-01 12:00:00,317852.0,312346.0,3.208,
