Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp
396205490209693696,KING D ROYALTY http://t.co/eXjB4V0rbx … #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 34,Not labeled,Not labeled,Not related,king royalty http co exjb4v0rbx la lax oakland sf bayarea vegas losangeles cali seo smm wp oc music blogs turnup 34,0,0,2023-01-01 00:00:00
396263979762196480,KING D ROYALTY http://t.co/2RJIrrnlOi … #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 81,Not labeled,Not labeled,Not applicable,king royalty http co 2rjirrnloi la lax oakland sf bayarea vegas losangeles cali seo smm wp oc music blogs turnup 81,1,0,2023-01-01 01:00:00
396313082466541568,Something's happening @ #LAX rt now!! Re-tweet.,Outsiders,Other Useful Information,Related - but not informative,something happening lax rt tweet,2,1,2023-01-01 02:00:00
396313543865552896,"#KourtneyKardashian is seen arriving at #LAX airport on October 31, 2013 in Los Angeles http://t.co/NVd0gvPZy1",Not labeled,Not labeled,Not related,kourtneykardashian seen arriving lax airport october 31 2013 los angeles http co nvd0gvpzy1,0,0,2023-01-01 03:00:00
396314030383443968,"What the hell is going on at LAX, and why does something bad ALWAYS happen at an airport on days that I fly? Explain, @jonostrower.",Outsiders,Affected individuals,Related - but not informative,hell going lax something bad always happen airport days fly explain jonostrower,2,2,2023-01-01 04:00:00
396314902794498048,RT @efink: Gunfire on the tarmac. RT @CBSLA #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/cRQ5HzFgJO,Media,Affected individuals,Related and informative,rt efink gunfire tarmac rt cbsla breaking lapd incident reported terminal 3 lax http co crq5hzfgjo,3,2,2023-01-01 05:00:00
396315108311199744,Gunshots outside #LAX. Unknown if anyone is injured. Prayers go out to you all.,Outsiders,Sympathy and support,Related - but not informative,gunshots outside lax unknown anyone injured prayers go,2,3,2023-01-01 06:00:00
396315481621012480,Shooting in Terminal 3? Hard to get specifics. RT @TOPolk What the hell is going down at #LAX?,Outsiders,Sympathy and support,Related and informative,shooting terminal 3 hard get specifics rt topolk hell going lax,3,3,2023-01-01 07:00:00
396315620050223104,RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down. Suspect down.,Media,Affected individuals,Related and informative,rt anblanx breaking shooting lax terminal 2 sources say report 2 victims suspect,3,2,2023-01-01 08:00:00
396317146751307776,RT @charlescwcooke: California should pass gun control. RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down…,Outsiders,Other Useful Information,Related and informative,rt charlescwcooke california pass gun control rt anblanx breaking shooting lax terminal 2 sources say report 2 victims,3,1,2023-01-01 09:00:00
396317180309938176,RT @jforstrom: At #lax. Just had to run onto runway because of shooting in terminal 2 http://t.co/4ZHVCcVmVX,Outsiders,Affected individuals,Related and informative,rt jforstrom lax run onto runway shooting terminal 2 http co 4zhvccvmvx,3,2,2023-01-01 10:00:00
396317331330433024,"RT @NewsBreaker: EYEWITNESS: @ToryBelleci reports hearing gun shots, then everyone starting running for the door. Outside now @ #LAX http…",Eyewitness,Affected individuals,Related and informative,rt newsbreaker eyewitness torybelleci reports hearing gun shots everyone starting running door outside lax http,3,2,2023-01-01 11:00:00
396317406798553088,"Shots fired, airport evacuated at #LAX is what im seeing all over my timeline.",Outsiders,Other Useful Information,Related and informative,shots fired airport evacuated lax im seeing timeline,3,1,2023-01-01 12:00:00
396317671035129856,RT @AustinCrossCBS: Reports saying a TSA agent and the shooting suspect have been shot. #LAX,Media,Affected individuals,Related and informative,rt austincrosscbs reports saying tsa agent shooting suspect shot lax,3,2,2023-01-01 13:00:00
396317725556887552,RT @LASportsRadio: Some guy just got into the LAX airport with a rifle.  Last week LAX security confiscated my hair gel.,Media,Other Useful Information,Related and informative,rt lasportsradio guy got lax airport rifle last week lax security confiscated hair gel,3,1,2023-01-01 14:00:00
396318216299229184,RT @WLTX: #BREAKING: Gunfire reported Los Angeles airport (#LAX) terminal 3. Pic via Fox Sports reporter @foxsportsreiter http://t.co/cbPt6…,Media,Other Useful Information,Related and informative,rt wltx breaking gunfire reported los angeles airport lax terminal 3 pic via fox sports reporter foxsportsreiter http co cbpt6,3,1,2023-01-01 15:00:00
396318249870434304,"😔 RT @msnbc: BREAKING: Reports of shots fired at LAX Airport, says senior government official. Stay with @msnbc for the latest.",Media,Affected individuals,Related and informative,rt msnbc breaking reports shots fired lax airport says senior government official stay msnbc latest,3,2,2023-01-01 16:00:00
396318312759455744,RT @ABC7News: JUST IN per @911LAPD: Police are responding to a major incident at #LAX. http://t.co/sCgUph2DnU,Media,Affected individuals,Related and informative,rt abc7news per 911lapd police responding major incident lax http co scguph2dnu,3,2,2023-01-01 17:00:00
396318379906039808,RT @jforstrom: At #lax. Just had to run onto runway because of shooting in terminal 2 http://t.co/4ZHVCcVmVX,Eyewitness,Affected individuals,Related - but not informative,rt jforstrom lax run onto runway shooting terminal 2 http co 4zhvccvmvx,2,2,2023-01-01 18:00:00
396318430229315584,LAX Airport evacuated after reports of shooting http://t.co/RxZrFn8d1Q,Media,Infrastructure and utilities,Related and informative,lax airport evacuated reports shooting http co rxzrfn8d1q,3,4,2023-01-01 19:00:00
396318484759871488,"RT @msnbc: BREAKING: Reports of shots fired at LAX Airport, says senior government official. Stay with @msnbc for the latest.",Media,Affected individuals,Related and informative,rt msnbc breaking reports shots fired lax airport says senior government official stay msnbc latest,3,2,2023-01-01 20:00:00
396318660887064577,RT @CBCAlerts: Reports of gunfire at the Los Angeles airport. Police say 'major incident' underway. No word on victims. #LAX,Media,Caution and advice,Related and informative,rt cbcalerts reports gunfire los angeles airport police say major incident underway word victims lax,3,5,2023-01-01 21:00:00
396318828675616768,RT @KIRO7Seattle: RT @CBSLA: #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/qkNvtvOLpp,Media,Affected individuals,Related and informative,rt kiro7seattle rt cbsla breaking lapd incident reported terminal 3 lax http co qknvtvolpp,3,2,2023-01-01 22:00:00
396318916743811073,RT @grantimahara: Something just happened at #LAX. TSA and police running everywhere.,Eyewitness,Other Useful Information,Related and informative,rt grantimahara something happened lax tsa police running everywhere,3,1,2023-01-01 23:00:00
396319025795321858,RT @grasswire: Person on stretcher loaded into ambulance at #LAX http://t.co/25FzgNKvcn,Media,Affected individuals,Related and informative,rt grasswire person stretcher loaded ambulance lax http co 25fzgnkvcn,3,2,2023-01-02 00:00:00
396319034205274113,LAX Airport being evacuated. Shots fired. Boo.,Outsiders,Other Useful Information,Related and informative,lax airport evacuated shots fired boo,3,1,2023-01-02 01:00:00
396319071966208001,Good heavens! Hope all tuns out well at #LAX Please stay safe everyone. Also AVOID LAX airport right now! #Terminal3,Outsiders,Sympathy and support,Related - but not informative,good heavens hope tuns well lax please stay safe everyone also avoid lax airport right terminal3,2,3,2023-01-02 02:00:00
396319248101822464,DEVELOPING: There has been an incident at Los Angeles Intl Airport. Reports are there was a shooting | http://t.co/t65AUJwquP,Media,Other Useful Information,Related and informative,developing incident los angeles intl airport reports shooting http co t65aujwqup,3,1,2023-01-02 03:00:00
396319302619394049,RT @WLTX: #BREAKING: Gunfire reported Los Angeles airport (#LAX) terminal 3. Pic via Fox Sports reporter @foxsportsreiter http://t.co/cbPt6…,Media,Other Useful Information,Related and informative,rt wltx breaking gunfire reported los angeles airport lax terminal 3 pic via fox sports reporter foxsportsreiter http co cbpt6,3,1,2023-01-02 04:00:00
396319336178401281,RT @CBSLA: #UPDATE: Arrival/departure roads closed at #LAX after reports of shots fired in Terminal 3. http://t.co/1bu3zuzflK,Media,Infrastructure and utilities,Related and informative,rt cbsla update arrival departure roads closed lax reports shots fired terminal 3 http co 1bu3zuzflk,3,4,2023-01-02 05:00:00
396319382345097216,RT @pornlaw: Shooting at LAX... TSA employee shot. News is reporting that the shooter might have a machine gun/assault rifle....,Media,Affected individuals,Related and informative,rt pornlaw shooting lax tsa employee shot news reporting shooter might machine gun assault rifle,3,2,2023-01-02 06:00:00
