Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded
368659239272579073,RT @dost_pagasa: WEATHER BULLETIN No. 2 Tropical Cyclone Alert: Tropical Depression “#MaringPH”   Issued at 11:00AM 17 August... http://t.c…,Government,Caution and advice,Related and informative,rt dost_pagasa weather bulletin 2 tropical cyclone alert tropical depression maringph issued 11 00am 17 august http c,0,0
368673453785636864,"RT @24_Oras: Sa datos ng @dost_pagasa, huling namataan ang TD #MaringPH 325 km silangan ng Itbayat, Batanes.",Media,Caution and advice,Related and informative,rt 24_oras sa datos ng dost_pagasa huling namataan ang td maringph 325 km silangan ng itbayat batanes,0,0
368676146541371392,Fuck ayoko ng baha. Paano ako sa Manila gdi purnada ang gala HAHAHA,Eyewitness,Not applicable,Related - but not informative,fuck ayoko ng baha paano ako sa manila gdi purnada ang gala hahaha,1,1
368679682322874371,RT @ANCALERTS: Tropical Depression Maring is moving east southeast at 11kph #MaringPH,Media,Caution and advice,Related and informative,rt ancalerts tropical depression maring moving east southeast 11kph maringph,0,0
368929037877403652,Intramuros baha. I miss Manila. http://t.co/UkqB40Eu5Y,Eyewitness,Infrastructure and utilities,Related and informative,intramuros baha miss manila http co ukqb40eu5y,0,2
368934792475054080,"RT @gmanews: PAGASA: #MaringPH moves east, monsoon to bring rain over PHL http://t.co/0ubcL9MqKe",Media,Caution and advice,Related and informative,rt gmanews pagasa maringph moves east monsoon bring rain phl http co 0ubcl9mqke,0,0
368967734542864384,"RT @ANCALERTS: PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in low-lying areas",Media,Caution and advice,Related and informative,rt ancalerts pagasa 12 20pm yellow advisory metro manila moderate heavy rains next 3 hours possible floods low lying areas,0,0
368967986213687296,"RT @PCUNEWSTweets: @ANCALERTS: PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in …",Media,Caution and advice,Related and informative,rt pcunewstweets ancalerts pagasa 12 20pm yellow advisory metro manila moderate heavy rains next 3 hours possible floods,0,0
369036751815204864,"“@24_Oras: Sa Metro Manila, makararanas ng makulilim na langit at hanggang katamtamang pag-ulan hanggang sa Martes. #MaringPH” @PWU_Manila",Media,Other Useful Information,Related and informative,24_oras sa metro manila makararanas ng makulilim na langit hanggang katamtamang pag ulan hanggang sa martes maringph pwu_manila,0,3
369037812986675200,"RT @24_Oras: Sa Metro Manila, makararanas ng makulilim na langit at hanggang katamtamang pag-ulan hanggang sa Martes. #MaringPH",Media,Caution and advice,Related and informative,rt 24_oras sa metro manila makararanas ng makulilim na langit hanggang katamtamang pag ulan hanggang sa martes maringph,0,0
369039335498076160,"Wag mo akong paasahin, ayokong masaktan. #Maring",Not labeled,Not labeled,Not related,wag mo akong paasahin ayokong masaktan maring,2,4
369042078577090560,"RT @ABSCBNNews: PAGASA 6pm: YELLOW advisory for Metro Manila. Moderate-heavy rains to continue in next 3 hours, floods possible. | via @ANC…",Media,Caution and advice,Related and informative,rt abscbnnews pagasa 6pm yellow advisory metro manila moderate heavy rains continue next 3 hours floods possible via anc,0,0
369050983084466177,"RT @DZMMTeleRadyo: Bagyong #MaringPH, lumakas pa; pinag-iibayo ang Habagat http://t.co/X9ZoZ9gtxo http://t.co/9F4o8p3X1b",Media,Caution and advice,Related and informative,rt dzmmteleradyo bagyong maringph lumakas pa pinag iibayo ang habagat http co x9zoz9gtxo http co 9f4o8p3x1b,0,0
369052908278407168,Sungit ni Aling #MaringPH,Not labeled,Not labeled,Not related,sungit ni aling maringph,2,4
369065189200510976,Fvck baha na daw sa manila -.- buti di ako umuwi sa dorm :)),Outsiders,Caution and advice,Related - but not informative,fvck baha na daw sa manila buti di ako umuwi sa dorm,1,0
369067739320553474,Sana walang pasok bukas. :&lt; FLOOD DAW SA METRO MANILA. Sabi ni PAG-ASA.,Outsiders,Sympathy and support,Related - but not informative,sana walang pasok bukas lt flood daw sa metro manila sabi ni pag asa,1,5
