Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp
407129710162759680,NYPD calling Level 3 mobilization (borough-wide) for possible train derailment near Spuyten Duyvil Metro North station in the Bronx,Government,Other Useful Information,Related and informative,nypd calling level 3 mobilization borough wide possible train derailment near spuyten duyvil metro north station bronx,0,0,2023-01-01 00:00:00
407132226753921024,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,rt ap breaking police say metro north passenger train derailed new york city cars water,0,0,2023-01-01 01:00:00
407132251882020865,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,rt ap breaking police say metro north passenger train derailed new york city cars water,0,0,2023-01-01 02:00:00
407132730070433792,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,rt ap breaking police say metro north passenger train derailed new york city cars water,0,0,2023-01-01 03:00:00
407132738450640896,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Other Useful Information,Related and informative,rt ap breaking police say metro north passenger train derailed new york city cars water,0,0,2023-01-01 04:00:00
407132918793142272,RT @ajamlive: Police: A Metro-North passenger train has derailed in New York City; some cars in water-@AP #breaking,Media,Infrastructure and utilities,Related and informative,rt ajamlive police metro north passenger train derailed new york city cars water ap breaking,0,1,2023-01-01 05:00:00
407133485040959488,RT @AP: BREAKING: Police say a Metro-North passenger train has derailed in New York City; some cars in water.,Media,Infrastructure and utilities,Related and informative,rt ap breaking police say metro north passenger train derailed new york city cars water,0,1,2023-01-01 06:00:00
407133636002316288,RT @BreakingNews: Police say a Metro-North passenger train has derailed in New York City; some cars in water - @AP,Media,Other Useful Information,Related and informative,rt breakingnews police say metro north passenger train derailed new york city cars water ap,0,0,2023-01-01 07:00:00
407133636027088897,RT @YourAnonNews: Metro-North passenger train has derailed in New York City; some cars in water: AP,Media,Other Useful Information,Related and informative,rt youranonnews metro north passenger train derailed new york city cars water ap,0,0,2023-01-01 08:00:00
407134302896685056,RT @FreedomWeekly: BREAKING: Police Say a Metro-North Passenger Train Has Derailed in New York City; Some Cars in Water #NYC  http://t.co/z…,Media,Other Useful Information,Related and informative,rt freedomweekly breaking police say metro north passenger train derailed new york city cars water nyc http co z,0,0,2023-01-01 09:00:00
