Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp
291852896990023680,"RT @AdmireAriana: Heat wave in Australia. Flooding in Jakarta, Indonesia. The world is going wrong.",Not labeled,Not labeled,Not related,rt admireariana heat wave australia flooding jakarta indonesia world going wrong,0,0,2023-01-01 00:00:00
291853232538537984,"RT @AdmireAriana: Heat wave in Australia. Flooding in Jakarta, Indonesia. The world is going wrong.",Outsiders,Other Useful Information,Related - but not informative,rt admireariana heat wave australia flooding jakarta indonesia world going wrong,1,1,2023-01-01 01:00:00
291921947787395072,Jakarta floods leave hundreds of thousands homeless - Australia Network News - ABC News http://t.co/ZsAHzAG9,Media,Not applicable,Related and informative,jakarta floods leave hundreds thousands homeless australia network news abc news http co zsahzag9,2,2,2023-01-01 02:00:00
292248541500420096,"Bush fires in Australia, deadly flooding in Indonesia, and probably far worse winters elsewhere, but no, 1000+ schools closed, flights",Outsiders,Other Useful Information,Related and informative,bush fires australia deadly flooding indonesia probably far worse winters elsewhere 1000 schools closed flights,2,1,2023-01-01 03:00:00
293071229055799297,VIDEO - A world of contrasts. We freeze whilst Australia swelters &amp; is threatened by flash floods: http://t.co/JPSx1mLv #weather #geography,Outsiders,Affected individuals,Related - but not informative,video world contrasts freeze whilst australia swelters amp threatened flash floods http co jpsx1mlv weather geography,1,3,2023-01-01 04:00:00
293186081652871169,Probe opens way for Queensland floods class action - The Australian: Brisbane TimesProbe opens way for Queenslan... http://t.co/JqtGOnlY,Media,Affected individuals,Related and informative,probe opens way queensland floods class action australian brisbane timesprobe opens way queenslan http co jqtgonly,2,3,2023-01-01 05:00:00
293189592297906176,"RT @WeFightForFair: Media release from this morning's press conference on our #qldfloods class action. We have a strong case, get on boa ...",Media,Caution and advice,Related and informative,rt wefightforfair media release morning press conference qldfloods class action strong case get boa,2,4,2023-01-01 06:00:00
293237197652520960,RT @cycloneupdate: Predicted rainfall over the next 48 hours in FNQ. It's gonna get very wet.#bigwet http://t.co/Kl3aR7E8,Media,Caution and advice,Related and informative,rt cycloneupdate predicted rainfall next 48 hours fnq gon na get wet bigwet http co kl3ar7e8,2,4,2023-01-01 07:00:00
293253358318391297,RT @abcnews: Thousands of Queensland flood victims join possible class action against State Government http://t.co/Z0gNZRB3,Media,Other Useful Information,Related and informative,rt abcnews thousands queensland flood victims join possible class action state government http co z0gnzrb3,2,1,2023-01-01 08:00:00
293266591339147264,RT @QLDOnline: Qld floods class action 'could set record' http://t.co/FGWVocFO #qld,Media,Other Useful Information,Related and informative,rt qldonline qld floods class action could set record http co fgwvocfo qld,2,1,2023-01-01 09:00:00
