Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp
401665752564244480,#Oristano celebra gli avieri sardi morti a #Sutri -furono trucidati dai #nazisti nel 1943 #sardegna #guerra... http://t.co/TWxK74YVAv,Not labeled,Not labeled,Not related,oristano celebra gli avieri sardi morti sutri furono trucidati dai nazisti nel 1943 sardegna guerra http co twxk74yvav,0,0,2023-01-01 00:00:00
401736359511339010,"RT @hutterdesign: Cala Soraya, la nostra spiaggia preferita a Spargi, arcipelago di La Maddalena,  #Sardegna. http://t.co/X1rWBvLzig RT via…",Not applicable,Not applicable,Related - but not informative,rt hutterdesign cala soraya la nostra spiaggia preferita spargi arcipelago di la maddalena sardegna http co x1rwbvlzig rt via,1,1,2023-01-01 01:00:00
401803241887105024,"RT @JustElisabetta: #instacollage #family @Gio_BIP , Luigi , Giulio , #summermemories #Sardegna http://t.co/Ao3v1JI34C",Not labeled,Not labeled,Not related,rt justelisabetta instacollage family gio_bip luigi giulio summermemories sardegna http co ao3v1ji34c,0,0,2023-01-01 02:00:00
401824347587088384,#Italy #Sardinia #Cagliari #weekends http://t.co/ZUhJnPZXkF,Not labeled,Not labeled,Not related,italy sardinia cagliari weekends http co zuhjnpzxkf,0,0,2023-01-01 03:00:00
401992845361291266,#Cartoline dalla #Sardegna : la gioia di praticare gli sport preferiti godendo dell'ossigeno e dello iodio di un... http://t.co/mWcGhb0dce,Not labeled,Not labeled,Not related,cartoline dalla sardegna la gioia di praticare gli sport preferiti godendo dell ossigeno e dello iodio di un http co mwcghb0dce,0,0,2023-01-01 04:00:00
402096251740512256,Il #dolce sardo delle spose http://t.co/CLX8bPNgOG #matrimonio #sardegna #sposa #dolci #torte #sardegna #foodporn,Not labeled,Not labeled,Not related,il dolce sardo delle spose http co clx8bpngog matrimonio sardegna sposa dolci torte sardegna foodporn,0,0,2023-01-01 05:00:00
402358458659262464,"FOTO - Michela Murgia, il vestito del Campiello venduto all'asta per 1.250 euro http://t.co/kOujz8DlhK #sardegna http://t.co/KqPvU72Cmo",Not labeled,Not labeled,Not related,foto michela murgia il vestito del campiello venduto asta per 1 250 euro http co koujz8dlhk sardegna http co kqpvu72cmo,0,0,2023-01-01 06:00:00
402503078278336513,RT @la_stampa: Così il #maltempo ha sconvolto la #Sardegna http://t.co/lDHgczN43n http://t.co/8CeGXMXwJ8,Media,Other Useful Information,Related and informative,rt la_stampa così il maltempo ha sconvolto la sardegna http co ldhgczn43n http co 8cegxmxwj8,2,2,2023-01-01 07:00:00
402504831472259072,RT @la_stampa: Così il #maltempo ha sconvolto la #Sardegna http://t.co/lDHgczN43n http://t.co/8CeGXMXwJ8,Media,Other Useful Information,Related and informative,rt la_stampa così il maltempo ha sconvolto la sardegna http co ldhgczn43n http co 8cegxmxwj8,2,2,2023-01-01 08:00:00
402514218353979393,Maltempo in Sardegna: alluvione nell'Oristano  L'acuta fase di maltempo a causato allagamenti e anche un morto in... http://t.co/vuBaglbMN4,Media,Affected individuals,Related and informative,maltempo sardegna alluvione nell oristano l acuta fase di maltempo causato allagamenti e anche un morto http co vubaglbmn4,2,3,2023-01-01 09:00:00
402520350418026496,"ALLUVIONE SARDEGNA, il maltempo uccide: una vittima e due dispersi http://t.co/Z5Lb3Cigd0",Media,Affected individuals,Related and informative,alluvione sardegna il maltempo uccide una vittima e due dispersi http co z5lb3cigd0,2,3,2023-01-01 10:00:00
402522179117387776,"L' #italia in queste ore ha un problema serio di cui nessuno parla, la #sardegna nell'oristanese è completamente sott'acqua. Tutto normale?",Outsiders,Other Useful Information,Related and informative,l italia queste ore ha un problema serio di cui nessuno parla la sardegna nell oristanese è completamente sott acqua tutto normale,2,2,2023-01-01 11:00:00
402527522677874688,"Alluvione in Sardegna, crolla un altro ponte in provincia di Olbia: tante auto coinvolte - Meteo Web http://t.co/O1NV5H1W9y",Media,Infrastructure and utilities,Related and informative,alluvione sardegna crolla un altro ponte provincia di olbia tante auto coinvolte meteo web http co o1nv5h1w9y,2,4,2023-01-01 12:00:00
402540042683699200,"RT @MeteoWeb_eu: #Alluvione in #Sardegna, almeno un morto e 5 dispersi: scenari drammatici [FOTO] --&gt; http://t.co/Cw4YYS5Jb0",Media,Affected individuals,Related and informative,rt meteoweb_eu alluvione sardegna almeno un morto e 5 dispersi scenari drammatici foto gt http co cw4yys5jb0,2,3,2023-01-01 13:00:00
