Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp
326636494947221504,RT @Projonmo13: 1st Lady speaker of #Bangladesh &amp; Hefajot-e-Rajakar! #shahbag #saveBangladesh যে সংসদের স্পিকার একজন নারী (cont) http:/…,Not labeled,Not labeled,Not related,rt projonmo13 1st lady speaker bangladesh amp hefajot e rajakar shahbag savebangladesh য স সদ র স প ক র একজন ন র cont http,0,0,2023-01-01 00:00:00
326645261034209280,#Bangladesh a country of enforced disappearances and extra judicial killing! http://t.co/Vcb2ukuiy2 #HumanRights #HR #Amnesty #HRW #Geneva,Not labeled,Not labeled,Not related,bangladesh country enforced disappearances extra judicial killing http co vcb2ukuiy2 humanrights hr amnesty hrw geneva,0,0,2023-01-01 01:00:00
326920155714170880,"RT @AJELive: A building in #Bangladesh has collapsed killing up to three people and trapping more, according to agencies. More soon.",Media,Affected individuals,Related and informative,rt ajelive building bangladesh collapsed killing three people trapping according agencies soon,1,1,2023-01-01 02:00:00
326928644977094656,"RT @drnhsarja: 8-story commercial building collapse in #Bangladesh; 3 dead , many feared trapped! :( #fb",Media,Affected individuals,Related and informative,rt drnhsarja 8 story commercial building collapse bangladesh 3 dead many feared trapped fb,1,1,2023-01-01 03:00:00
326929634857984000,NDTV: Bangladesh building collapse kills at least three http://t.co/pOIsYAObgX,Media,Affected individuals,Related and informative,ndtv bangladesh building collapse kills least three http co poisyaobgx,1,1,2023-01-01 04:00:00
326931417412014080,"Bangladesh building collapse kills at least three, several injured: At least three people were killed an... http://t.co/qbaixfsgZy #News",Outsiders,Affected individuals,Related and informative,bangladesh building collapse kills least three several injured least three people killed http co qbaixfsgzy news,1,1,2023-01-01 05:00:00
326932424044969984,"RT @BDnews: Garment factory building collapses in Bangladesh, 25 dead: TV - 路透社 http://t.co/ztvCEszd5v #Bangladesh",Media,Affected individuals,Related and informative,rt bdnews garment factory building collapses bangladesh 25 dead tv 路透社 http co ztvceszd5v bangladesh,1,1,2023-01-01 06:00:00
326934504432353281,@HarpreetS_Kohli this will continue till Jamaat is out of power! #Bangladesh #Pakistan,Not labeled,Not labeled,Not related,harpreets_kohli continue till jamaat power bangladesh pakistan,0,0,2023-01-01 07:00:00
326938753237147649,"Bangladesh Building Collapse: Fatalities Reported, Others Feared Trapped: DHAKA, Bangladesh — An 8-story comme... http://t.co/m98wvEsL0W",Outsiders,Affected individuals,Related and informative,bangladesh building collapse fatalities reported others feared trapped dhaka bangladesh 8 story comme http co m98wvesl0w,1,1,2023-01-01 08:00:00
326944658838134785,"Worst Outcome of Dead Capitalism: Inhumane Story of Savar Building Collapse  Yesterday, April 23, 2013, BRAC Bank... http://t.co/pMaxiVSR7v",Outsiders,Other Useful Information,Related and informative,worst outcome dead capitalism inhumane story savar building collapse yesterday april 23 2013 brac bank http co pmaxivsr7v,1,2,2023-01-01 09:00:00
326944843400097792,বুধবার রাষ্ট্রপতির শপথ : অপেক্ষায় বঙ্গভবন http://t.co/KIFY6o8omv #বলসবদ #bangla #banglanews #bangladesh,Not labeled,Not labeled,Not related,ব ধব র র ষ ট রপত র শপথ অপ ক ষ য বঙ গভবন http co kify6o8omv বলসবদ bangla banglanews bangladesh,0,0,2023-01-01 10:00:00
326955496911286272,Deadly building collapse in Bangladesh  http://t.co/uoRLgHnZL0 @AJEnglishさんから,Media,Other Useful Information,Related and informative,deadly building collapse bangladesh http co uorlghnzl0 ajenglishさんから,1,2,2023-01-01 11:00:00
326963935867699200,"RT @BreakingNews: Update: At least 32 people killed in Bangladesh building collapse, army official says - @AP",Media,Affected individuals,Related and informative,rt breakingnews update least 32 people killed bangladesh building collapse army official says ap,1,1,2023-01-01 12:00:00
326967542943977472,"RT @BreakingNews: Update: At least 32 people killed in Bangladesh building collapse, army official says - @AP",Media,Affected individuals,Related and informative,rt breakingnews update least 32 people killed bangladesh building collapse army official says ap,1,1,2023-01-01 13:00:00
326968583160729600,RT @SBSNews: BREAKING NEWS: At least 60 dead in Bangladesh building collapse - more details to come,Media,Affected individuals,Related and informative,rt sbsnews breaking news least 60 dead bangladesh building collapse details come,1,1,2023-01-01 14:00:00
