Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded
345498158371045378,RT @_SGkid: They should spin the Flyer at a very high speed so Singapore will be cooler and blow the haze away.,Not applicable,Not applicable,Related - but not informative,rt _sgkid spin flyer high speed singapore cooler blow haze away,0,0
345961847062671360,"RT @sgbroadcast: [ST] Haze update: Clearer skies over Singapore on Saturday with PSI at 'moderate' range: June 16, 2... http://t.co/qyZhDSX…",Media,Other Useful Information,Related and informative,rt sgbroadcast st haze update clearer skies singapore saturday psi moderate range june 16 2 http co qyzhdsx,1,1
346194496733708288,RT @ChannelNewsAsia: #HAZE UPDATE: #PSI is 80 at 5pm. Here's .@NEAsg's map showing PSI at various locations in #Singapore http://t.co/gddpD…,Media,Other Useful Information,Related and informative,rt channelnewsasia haze update psi 80 5pm neasg map showing psi various locations singapore http co gddpd,1,1
346417675632787456,RT @thepanditspeaks: Haze in Singapore continues due to Sumatra Forest fires.Feels like hill station sans the chill...,Eyewitness,Other Useful Information,Related and informative,rt thepanditspeaks haze singapore continues due sumatra forest fires feels like hill station sans chill,1,1
346467243934224387,RT @TradingJeremy: Pall of throat-scratching haze enveloping Singapore today. Who turned the smoke machine on in Indonesia this time? Cough,Eyewitness,Other Useful Information,Related and informative,rt tradingjeremy pall throat scratching haze enveloping singapore today turned smoke machine indonesia time cough,1,1
346472541327618049,Shit....... #Indonesia; SERIOUSLY?!?!?! #haze #Singapore 😡 http://t.co/G3qlzs2TaH,Not applicable,Not applicable,Related - but not informative,shit indonesia seriously haze singapore http co g3qlzs2tah,0,0
346505416299122688,"RT @CrispinLim: @STcom: #Haze update: 3-hour PSI climbs to 95, says @NEAsg. #sghaze Is it an asian thing to get everything to 100?",Outsiders,Caution and advice,Related and informative,rt crispinlim stcom haze update 3 hour psi climbs 95 says neasg sghaze asian thing get everything 100,1,2
346507647656267776,"RT @alvarofong: If only we could transform all the haze in Singapore to cold, fresh mist. Ahhh,  that would be amazing.",Eyewitness,Not applicable,Related - but not informative,rt alvarofong could transform haze singapore cold fresh mist ahhh would amazing,0,0
346510394916999168,"RT @ChannelNewsAsia: #SGHAZE: PSI reading hits 100 at 2pm, on brink of unhealthy level.",Media,Other Useful Information,Related and informative,rt channelnewsasia sghaze psi reading hits 100 2pm brink unhealthy level,1,1
346511372223385600,"Well where's my gas mask RT @ChannelNewsAsia: #SGHAZE: PSI reading hits 100 at 2pm, on brink of unhealthy level.",Eyewitness,Caution and advice,Related and informative,well gas mask rt channelnewsasia sghaze psi reading hits 100 2pm brink unhealthy level,1,2
346512706016260096,“@surenjerrymyaah: The sun and haze will soon set Singapore ablaze”,Eyewitness,Sympathy and support,Related - but not informative,surenjerrymyaah sun haze soon set singapore ablaze,0,3
346512773108346880,Lol lol ! Yesterday is Melaka Kenna the haze. Today is Singapore 😂,Eyewitness,Sympathy and support,Related - but not informative,lol lol yesterday melaka kenna haze today singapore,0,3
346516384399896576,RT @2SevenApril_: Okay guys one way to make the haze go away from Singapore is to put your fans at the window and blow the haze away.,Eyewitness,Other Useful Information,Related - but not informative,rt 2sevenapril_ okay guys one way make haze go away singapore put fans window blow haze away,0,1
346517055471755265,NewsInSG: Haze approaches 'unhealthy' level in Singapore: Singapore's haze situation worsened on Mo... http://t.co/ukVmx2QJQD #Singapore,Media,Caution and advice,Related and informative,newsinsg haze approaches unhealthy level singapore singapore haze situation worsened mo http co ukvmx2qjqd singapore,1,2
346517349093998592,RT @FieMitch: Indonesia is too kind to send their smoke/haze to singapore because they know there's dengue cases here. Hopefully we are mos…,Eyewitness,Other Useful Information,Related - but not informative,rt fiemitch indonesia kind send smoke haze singapore know dengue cases hopefully mos,0,1
346519223939522561,RT @ZoolHillMe: What if the haze is not a haze but a toxic gas meant to depopulate singapore? 😮,Not applicable,Not applicable,Related - but not informative,rt zoolhillme haze haze toxic gas meant depopulate singapore,0,0
346523003007430656,HAHAHAHAH CAN YOU BELIEVE THIS TREND . #SGHAZE #PSI,Not applicable,Affected individuals,Related - but not informative,hahahahah believe trend sghaze psi,0,4
346525926449897472,Made a right decision not to explore Singapore for some street photography.     Whatta a haze! http://t.co/2b2HsPH1Qw,Eyewitness,Not applicable,Related - but not informative,made right decision explore singapore street photography whatta haze http co 2b2hsph1qw,0,0
346527155372572673,RT @ChannelNewsAsia: #Haze reaches ‘unhealthy’ level in #Singapore. PSI is 105 at 3pm. #SGHAZE,Media,Caution and advice,Related and informative,rt channelnewsasia haze reaches unhealthy level singapore psi 105 3pm sghaze,1,2
346531072856690689,RT @livinginsg: Indonesia just what the hell is on fire over there?  The haze in Singapore is sibei bad now.,Eyewitness,Other Useful Information,Related - but not informative,rt livinginsg indonesia hell fire haze singapore sibei bad,0,1
346535812428599296,"Foreigners, this will happen when you come here to holiday or take pictures of Singapore! Happy Haze Day! http://t.co/oJEgtPVkgq",Eyewitness,Other Useful Information,Related - but not informative,foreigners happen come holiday take pictures singapore happy haze day http co ojegtpvkgq,0,1
346536772894855168,"RT @theREALeticia: Boyboy, you can hashtag all your instagram photos today with #nofilter. #SGhaze",Not labeled,Not labeled,Not related,rt therealeticia boyboy hashtag instagram photos today nofilter sghaze,2,5
