Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp
359949548937945091,España busca exportar su tren de alta velocidad http://t.co/3DpZkTxvJg,Not labeled,Not labeled,Not related,españa busca exportar su tren de alta velocidad http co 3dpzktxvjg,0,0,2023-01-01 00:00:00
360118977848016896,RT @elmundoes: URGENTE: Descarrila un tren de pasajeros a pocos metros del casco urbano de Santiago de Compostela.,Media,Other Useful Information,Related and informative,rt elmundoes urgente descarrila un tren de pasajeros pocos metros del casco urbano de santiago de compostela,1,1,2023-01-01 01:00:00
360120559088050176,RT @copecoruna: ÚLTIMA HORA: Descarrila un tren de pasajeros en la entrada de la estación de Santiago de Compostela. Hay fallecidos. http:/…,Media,Other Useful Information,Related and informative,rt copecoruna última hora descarrila un tren de pasajeros en la entrada de la estación de santiago de compostela hay fallecidos http,1,1,2023-01-01 02:00:00
360120953373593600,Ha descarrilado un tren en santiago de Compostela,Media,Other Useful Information,Related and informative,ha descarrilado un tren en santiago de compostela,1,1,2023-01-01 03:00:00
360121477636423683,RT @abc_es: #ACTUALIZACIÓN: Diez muertos tras descarrilar un tren en Santiago de Compostela http://t.co/SMjvzheviV,Media,Affected individuals,Related and informative,rt abc_es actualización diez muertos tras descarrilar un tren en santiago de compostela http co smjvzheviv,1,2,2023-01-01 04:00:00
360121628652343298,RT @A3Noticias: ÚLTIMA HORA: Descarrila un tren de pasajeros que cubría la ruta entre Madrid y Ferrol en Santiago de Compostela http://t.co…,Media,Other Useful Information,Related and informative,rt a3noticias última hora descarrila un tren de pasajeros que cubría la ruta entre madrid ferrol en santiago de compostela http co,1,1,2023-01-01 05:00:00
360122056471355393,RT @NewsBreaker: BREAKING: Casualties reported as train derails close to #Santiago de Compostela in #Galicia region of north-west Spain - @…,Media,Other Useful Information,Related and informative,rt newsbreaker breaking casualties reported train derails close santiago de compostela galicia region north west spain,1,1,2023-01-01 06:00:00
360122375238455297,RT @infobaeamerica: [REITERAMOS] Descarriló un tren en España: habría una decena de muertos http://t.co/arNcuP94cI,Media,Affected individuals,Related and informative,rt infobaeamerica reiteramos descarriló un tren en españa habría una decena de muertos http co arncup94ci,1,2,2023-01-01 07:00:00
360122601735073793,RT @A3Noticias: ÚLTIMA HORA: Descarrila un tren de pasajeros que cubría la ruta entre Madrid y Ferrol en Santiago de Compostela http://t.co…,Media,Other Useful Information,Related and informative,rt a3noticias última hora descarrila un tren de pasajeros que cubría la ruta entre madrid ferrol en santiago de compostela http co,1,1,2023-01-01 08:00:00
360123667054739456,Al menos nueve muertos al descarrilar un tren de pasajeros cerca de Santiago de Compostela http://t.co/jkeWaqhBrh vía @la_informacion,Media,Affected individuals,Related and informative,al menos nueve muertos al descarrilar un tren de pasajeros cerca de santiago de compostela http co jkewaqhbrh vía la_informacion,1,2,2023-01-01 09:00:00
360124216508551168,RT @OskyFive: Descarrila un tren Alvia @Renfe justo antes de llegar a Santiago de Compostela #Galicia #Renfe  http://t.co/DXEdMRZFUo,Outsiders,Other Useful Information,Related and informative,rt oskyfive descarrila un tren alvia renfe justo antes de llegar santiago de compostela galicia renfe http co dxedmrzfuo,1,1,2023-01-01 10:00:00
360124426240532480,RT @elmundoes: ÚLTIMA HORA: Al menos seis muertos tras descarrilar un tren de pasajeros en Santiago de Compostela http://t.co/aSbRHO0vUO ví…,Media,Affected individuals,Related and informative,rt elmundoes última hora al menos seis muertos tras descarrilar un tren de pasajeros en santiago de compostela http co asbrho0vuo ví,1,2,2023-01-01 11:00:00
360125852287111169,RT @DavidIbanez5: Descarrila un AVE a la entrada a Santiago de Compostela. El tren procedía de Ourense. Así ha quedado el tren. http://t.co…,Outsiders,Other Useful Information,Related and informative,rt davidibanez5 descarrila un ave la entrada santiago de compostela el tren procedía de ourense así ha quedado el tren http co,1,1,2023-01-01 12:00:00
360125961376763904,"URGENTE foto descarrilamiento de tren en España, al menos 10 muertos  http://t.co/LcMcGCvJox @UltimoMinutoCL @ViveCASABLANCA @Bomba_Decima",Media,Affected individuals,Related and informative,urgente foto descarrilamiento de tren en españa al menos 10 muertos http co lcmcgcvjox ultimominutocl vivecasablanca bomba_decima,1,2,2023-01-01 13:00:00
360126229795442688,RT @24HorasTVN: AHORA - Trágico accidente en #España deja al menos 10 muertos por descarrilamiento de tren: http://t.co/S6MiN0e0l8,Media,Affected individuals,Related and informative,rt 24horastvn ahora trágico accidente en españa deja al menos 10 muertos por descarrilamiento de tren http co s6min0e0l8,1,2,2023-01-01 14:00:00
360127072837963776,@SteveInMadrid: BREAKING UPDATE 5 Exclusive Pic of train derailment in Santiago NW #Spain http://t.co/Nn08yeBM1F,Media,Other Useful Information,Related and informative,steveinmadrid breaking update 5 exclusive pic train derailment santiago nw spain http co nn08yebm1f,1,1,2023-01-01 15:00:00
360127072867323904,Diarios españoles hablan de al menos 12 muertos por el descarrilamiento de un tren cuando llegaba a Santiago de Compostela,Media,Affected individuals,Related and informative,diarios españoles hablan de al menos 12 muertos por el descarrilamiento de un tren cuando llegaba santiago de compostela,1,2,2023-01-01 16:00:00
360127186079985666,RT @laSextaTV: Fallecen al menos nueve personas al descarrilar un tren en Santiago de Compostela http://t.co/uTKtDf2jSQ,Media,Affected individuals,Related and informative,rt lasextatv fallecen al menos nueve personas al descarrilar un tren en santiago de compostela http co utktdf2jsq,1,2,2023-01-01 17:00:00
360127764927479808,Train Crash In Spain: Several Deaths Reported http://t.co/OXe5H8A3Gk,Media,Other Useful Information,Related and informative,train crash spain several deaths reported http co oxe5h8a3gk,1,1,2023-01-01 18:00:00
360127785869639681,RT @elmundoes: ÚLTIMA HORA: Al menos seis muertos tras descarrilar un tren de pasajeros en Santiago de Compostela http://t.co/aSbRHO0vUO ví…,Media,Affected individuals,Related and informative,rt elmundoes última hora al menos seis muertos tras descarrilar un tren de pasajeros en santiago de compostela http co asbrho0vuo ví,1,2,2023-01-01 19:00:00
360127806836969473,RT @elmundoes: ÚLTIMA HORA: Al menos seis muertos tras descarrilar un tren de pasajeros en Santiago de Compostela http://t.co/aSbRHO0vUO ví…,Media,Affected individuals,Related and informative,rt elmundoes última hora al menos seis muertos tras descarrilar un tren de pasajeros en santiago de compostela http co asbrho0vuo ví,1,2,2023-01-01 20:00:00
360128821862731776,RT @Robcampnou67: Al menos 10 muertos tras descarrilar tren de pasajeros cerca de Santiago de Compostela http://t.co/ULkLvcZwhK vía @Actual…,Media,Affected individuals,Related and informative,rt robcampnou67 al menos 10 muertos tras descarrilar tren de pasajeros cerca de santiago de compostela http co ulklvczwhk vía actual,1,2,2023-01-01 21:00:00
360129199350091777,RT @A3Noticias: Al menos 9 muertos y 50 heridos en el accidente de tren de Santiago de Compostela donde han descarrilado 13 vagones http://…,Media,Affected individuals,Related and informative,rt a3noticias al menos 9 muertos 50 heridos en el accidente de tren de santiago de compostela donde han descarrilado 13 vagones http,1,2,2023-01-01 22:00:00
360129262285631489,RT @CDLeganesSAD: Todo nuestro cariño y ánimo a las familias de los fallecidos por el trágico accidente de tren en Santiago de Compostela.,Business,Sympathy and support,Related - but not informative,rt cdleganessad todo nuestro cariño ánimo las familias de los fallecidos por el trágico accidente de tren en santiago de compostela,2,3,2023-01-01 23:00:00
360129643967299584,"Spain high-speed train crashes near Santiago de Compostela | euronews, world news: http://t.co/QufTQsNUFk",Media,Other Useful Information,Related and informative,spain high speed train crashes near santiago de compostela euronews world news http co quftqsnufk,1,1,2023-01-02 00:00:00
360129769775431680,RT @DiarioLaPrensa: Al menos 10 muertos al descarrilar un tren en #España http://t.co/cwR1qjNRIC,Media,Affected individuals,Related and informative,rt diariolaprensa al menos 10 muertos al descarrilar un tren en españa http co cwr1qjnric,1,2,2023-01-02 01:00:00
360130109543415808,RT @Jodete_Mamon: Hay un grave accidente de tren y ningún canal de TV para su programación para informar. Esto es España.,Outsiders,Other Useful Information,Related - but not informative,rt jodete_mamon hay un grave accidente de tren ningún canal de tv para su programación para informar esto es españa,2,1,2023-01-02 02:00:00
360130575090192384,RT @Jorge_Dargel: Descarrila un tren en Santiago de Compostela y van de momento 12 fallecidos. Macabra coincidencia que mañana sea Santiago…,Outsiders,Affected individuals,Related and informative,rt jorge_dargel descarrila un tren en santiago de compostela van de momento 12 fallecidos macabra coincidencia que mañana sea santiago,1,2,2023-01-02 03:00:00
360130973536485376,mal plan lo del tren en españa :S,Outsiders,Other Useful Information,Related - but not informative,mal plan lo del tren en españa,2,1,2023-01-02 04:00:00
360131732730679296,RT @ccifuentes: Descarrila un tren en Santiago de Compostela. Pendiente de conocer las identidades de posibles víctimas y heridos. Trágica …,Outsiders,Other Useful Information,Related and informative,rt ccifuentes descarrila un tren en santiago de compostela pendiente de conocer las identidades de posibles víctimas heridos trágica,1,1,2023-01-02 05:00:00
360132630290776064,RT @YhadiragLaVoz: Con muy mal cuerpo por el tren descarrilado en Santiago de Compostela.Mucho ánimo a todos los que han perdido gente en e…,Outsiders,Sympathy and support,Related - but not informative,rt yhadiraglavoz con muy mal cuerpo por el tren descarrilado en santiago de compostela mucho ánimo todos los que han perdido gente en e,2,3,2023-01-02 06:00:00
360132710011899905,AHORA - Al menos 9 muertos en el descarrilamiento de un tren en España http://t.co/6Xy19tTpiq … http://t.co/t3VJK7v3xs  #NotiWTF Via @notiWT,Media,Affected individuals,Related and informative,ahora al menos 9 muertos en el descarrilamiento de un tren en españa http co 6xy19ttpiq http co t3vjk7v3xs notiwtf via notiwt,1,2,2023-01-02 07:00:00
360133376872689667,@beticocabrera Ha descarrilado un tren en Santiago de Compostela...puedes leerlo aquí http://t.co/cCL0Qjw3Y8,Outsiders,Other Useful Information,Related and informative,beticocabrera ha descarrilado un tren en santiago de compostela puedes leerlo aquí http co ccl0qjw3y8,1,1,2023-01-02 08:00:00
360133615952203776,RT @Jodete_Mamon: Hay un grave accidente de tren y ningún canal de TV para su programación para informar. Esto es España.,Outsiders,Other Useful Information,Related and informative,rt jodete_mamon hay un grave accidente de tren ningún canal de tv para su programación para informar esto es españa,1,1,2023-01-02 09:00:00
360134064734347264,RT @NewsBreaker: BREAKING PIC: 4 dead after train derails in Spain; pic from @alenperz appears to show bodies: http://t.co/EZaGsuVRmk http:…,Media,Affected individuals,Related and informative,rt newsbreaker breaking pic 4 dead train derails spain pic alenperz appears show bodies http co ezagsuvrmk http,1,2,2023-01-02 10:00:00
360134328988090368,"At least 10 people killed after train derails near Santiago de Compostela, Spain, witnesses tell Voz de Galicia newspaper #reinsurance",Eyewitness,Affected individuals,Related and informative,least 10 people killed train derails near santiago de compostela spain witnesses tell voz de galicia newspaper reinsurance,1,2,2023-01-02 11:00:00
360134370947907585,RT @infoSCQ: Se recomienda donar sangre de todos los grupos tras el descarrilamiento de un tren Santiago de Compostela con fallecidos y her…,Media,Donations and volunteering,Related and informative,rt infoscq se recomienda donar sangre de todos los grupos tras el descarrilamiento de un tren santiago de compostela con fallecidos,1,4,2023-01-02 12:00:00
360134991700688896,More than 20 deaths in train accident in Santiago de Compostela (Galiza) ... I'm sad,Outsiders,Affected individuals,Related and informative,20 deaths train accident santiago de compostela galiza sad,1,2,2023-01-02 13:00:00
360135608238215168,RT @oierfano: Al menos 15 muertos tras descarrilar tren de pasajeros cerca de Santiago de Compostela http://t.co/EFdOOivIvU vía @Actualidad…,Media,Affected individuals,Related and informative,rt oierfano al menos 15 muertos tras descarrilar tren de pasajeros cerca de santiago de compostela http co efdooivivu vía actualidad,1,2,2023-01-02 14:00:00
360136195440787456,RT @ActualidadRT: ÚLTIMA HORA: Asciende a 15 el número de muertos tras descarrilar un tren cerca de Santiago de #Compostela #España http://…,Media,Affected individuals,Related and informative,rt actualidadrt última hora asciende 15 el número de muertos tras descarrilar un tren cerca de santiago de compostela españa http,1,2,2023-01-02 15:00:00
360137072050315264,RT @Rubiu5: Arrr... Que mal pinta el accidente de tren de Santiago de Compostela :( Animo a los familiares y afectados.,Outsiders,Sympathy and support,Related - but not informative,rt rubiu5 arrr que mal pinta el accidente de tren de santiago de compostela animo los familiares afectados,2,3,2023-01-02 16:00:00
360137080464084994,RT @ActualidadRT: Teléfono para atención de familiares afectados por el descarrilamiento de tren en #Santiago de Compostela 981551100  http…,Media,Caution and advice,Related and informative,rt actualidadrt teléfono para atención de familiares afectados por el descarrilamiento de tren en santiago de compostela 981551100 http,1,5,2023-01-02 17:00:00
360137143357673473,RT @diario_vlcnews: El tren que cubría la ruta Madrid-Ferrol descarrila. El suceso se ha producido a la entrada de Compostela. Varios muert…,Media,Other Useful Information,Related and informative,rt diario_vlcnews el tren que cubría la ruta madrid ferrol descarrila el suceso se ha producido la entrada de compostela varios muert,1,1,2023-01-02 18:00:00
360137147577155584,RT @Rubiu5: Arrr... Que mal pinta el accidente de tren de Santiago de Compostela :( Animo a los familiares y afectados.,Outsiders,Sympathy and support,Related - but not informative,rt rubiu5 arrr que mal pinta el accidente de tren de santiago de compostela animo los familiares afectados,2,3,2023-01-02 19:00:00
360137420203126784,RT @chiclagloba2013: Algunas fuentes hablan de cuatro fallecidos y numerosos heridos con lo del tren de Santiago de Compostela. No se saben…,Media,Affected individuals,Related and informative,rt chiclagloba2013 algunas fuentes hablan de cuatro fallecidos numerosos heridos con lo del tren de santiago de compostela se saben,1,2,2023-01-02 20:00:00
360137457938870274,"RT @SoloTriples: Se necesitan donantes de sangre en Santiago de Compostela (Galicia) por el accidente de tren. RT GRACIAS, hace mucha falta.",Outsiders,Donations and volunteering,Related and informative,rt solotriples se necesitan donantes de sangre en santiago de compostela galicia por el accidente de tren rt gracias hace mucha falta,1,4,2023-01-02 21:00:00
360137827041816576,RT @A3Noticias: El accidente de tren en Santiago de Compostela EN IMÁGENES http://t.co/Dp4LTfKkNj http://t.co/xkmMGIrsm7,Media,Other Useful Information,Related - but not informative,rt a3noticias el accidente de tren en santiago de compostela en imágenes http co dp4ltfkknj http co xkmmgirsm7,2,1,2023-01-02 22:00:00
360137843814830081,RT @MissPulitzer: Última hora!! La Xunta de Galicia baraja al menos 35 muertos en el accidente de tren de Santiago de Compostela: http://t.…,Media,Affected individuals,Related and informative,rt misspulitzer última hora la xunta de galicia baraja al menos 35 muertos en el accidente de tren de santiago de compostela http,1,2,2023-01-02 23:00:00
360137864794742785,RT @Rubiu5: Arrr... Que mal pinta el accidente de tren de Santiago de Compostela :( Animo a los familiares y afectados.,Outsiders,Sympathy and support,Related - but not informative,rt rubiu5 arrr que mal pinta el accidente de tren de santiago de compostela animo los familiares afectados,2,3,2023-01-03 00:00:00
360137961276313601,RT @A3Noticias: Al menos 9 muertos y 50 heridos en el accidente de tren de Santiago de Compostela donde han descarrilado 13 vagones http://…,Media,Affected individuals,Related and informative,rt a3noticias al menos 9 muertos 50 heridos en el accidente de tren de santiago de compostela donde han descarrilado 13 vagones http,1,2,2023-01-03 01:00:00
360138229690810368,RT @BeatrizTalegon: Están pidiendo donaciones de sangre en el Hospital de Santiago de Compostela. Accidente mortal de tren. Colaboremos.,Outsiders,Donations and volunteering,Related and informative,rt beatriztalegon están pidiendo donaciones de sangre en el hospital de santiago de compostela accidente mortal de tren colaboremos,1,4,2023-01-03 02:00:00
360138355528314880,RT @cnnbrk: Several deaths reported after fiery train derailment in Spain. http://t.co/KTBGvts3l0,Media,Affected individuals,Related and informative,rt cnnbrk several deaths reported fiery train derailment spain http co ktbgvts3l0,1,2,2023-01-03 03:00:00
360138363904335873,RT @Xunta: En unos minutos comenzaremos a ofrecer información OFICIAL sobre el descarrilamiento del tren en Santiago de Compostela.,Government,Other Useful Information,Related and informative,rt xunta en unos minutos comenzaremos ofrecer información oficial sobre el descarrilamiento del tren en santiago de compostela,1,1,2023-01-03 04:00:00
360138519122939904,Al menos 35 muertos tras descarrilar un tren en Santiago de Compostela: Un tren Alvia que cubría la ruta Madri... http://t.co/5hypNmpOUR,Media,Affected individuals,Related and informative,al menos 35 muertos tras descarrilar un tren en santiago de compostela un tren alvia que cubría la ruta madri http co 5hypnmpour,1,2,2023-01-03 05:00:00
360138716238450688,RT @A3Noticias: Al menos 9 muertos y 50 heridos en el accidente de tren de Santiago de Compostela donde han descarrilado 13 vagones http://…,Media,Affected individuals,Related and informative,rt a3noticias al menos 9 muertos 50 heridos en el accidente de tren de santiago de compostela donde han descarrilado 13 vagones http,1,2,2023-01-03 06:00:00
360138758177308672,"Official: Train derails in Spain: A train derailed Wednesday in northwestern Spain, a g... http://t.co/vquQffJkLS http://t.co/UiO3vByg5g",Government,Other Useful Information,Related and informative,official train derails spain train derailed wednesday northwestern spain g http co vquqffjkls http co uio3vbyg5g,1,1,2023-01-03 07:00:00
360139232137838593,"RT @GermanConde98: Han descarrilado 13 vagones de un tren  en Santiago de Compostela, 15 muertos y medio centenar de heridos.",Outsiders,Affected individuals,Related and informative,rt germanconde98 han descarrilado 13 vagones de un tren en santiago de compostela 15 muertos medio centenar de heridos,1,2,2023-01-03 08:00:00
360139404095922179,RT @periodiconavas: Al menos 24 viíctimas ya en el  muertos en el accidente de tren en Santiago de Compostela.,Media,Affected individuals,Related and informative,rt periodiconavas al menos 24 viíctimas ya en el muertos en el accidente de tren en santiago de compostela,1,2,2023-01-03 09:00:00
360139441844654080,RT @A3Noticias: El accidente de tren en Santiago de Compostela EN IMÁGENES http://t.co/Dp4LTfKkNj http://t.co/xkmMGIrsm7,Media,Other Useful Information,Related and informative,rt a3noticias el accidente de tren en santiago de compostela en imágenes http co dp4ltfkknj http co xkmmgirsm7,1,1,2023-01-03 10:00:00
360139500560719872,RT @EstudiantesLugo: 981551100 telefono de atención a familiares de las victimas del accidente del tren en Santiago de Compostela RT!!!,Outsiders,Other Useful Information,Related and informative,rt estudianteslugo 981551100 telefono de atención familiares de las victimas del accidente del tren en santiago de compostela rt,1,1,2023-01-03 11:00:00
360139940983619584,RT @_MINI10_: Mucho animo para las familias de los fallecidos en el accidente de tren en Santiago de Compostela... :(,Outsiders,Sympathy and support,Related - but not informative,rt _mini10_ mucho animo para las familias de los fallecidos en el accidente de tren en santiago de compostela,2,3,2023-01-03 12:00:00
