Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded
397748184581025793,"May super typhoon pala this weekend, Paano na kaya tayo?!?!",Outsiders,Sympathy and support,Related - but not informative,may super typhoon pala weekend paano na kaya tayo,0,0
397781298577559552,RT @ChikkanessAve: Ariella Arida on her swimwear during the Miss Universe 2013 Preliminary competition... #GoPhilippines #philippines http:…,Not labeled,Not labeled,Not related,rt chikkanessave ariella arida swimwear miss universe 2013 preliminary competition gophilippines philippines http,1,1
397915554066857985,Tropical storm Haiyan intensifies into typhoon; to enter PH Thursday morning | The Manila Times Online http://t.co/5VNuu4NtOl,Media,Caution and advice,Related and informative,tropical storm haiyan intensifies typhoon enter ph thursday morning manila times online http co 5vnuu4ntol,2,2
397978405720686592,Super Typhoon Yolanda be good sa mga taga Bohol naman. Please!,Outsiders,Sympathy and support,Related - but not informative,super typhoon yolanda good sa mga taga bohol naman please,0,0
398015038759247872,RT @MsCandice_UC: Advisory- As of 2am Nov 6 #YolandaPH hasn't entered Phil Area of Resp. We're monitoring &amp; will advise you re classes/ wor…,Outsiders,Caution and advice,Related and informative,rt mscandice_uc advisory 2am nov 6 yolandaph entered phil area resp monitoring amp advise classes wor,2,2
398036631057231872,#YolandaPH pray for the entire Philippines.,Outsiders,Sympathy and support,Related - but not informative,yolandaph pray entire philippines,0,0
398041534190211072,"#Yolanda Langya, pangalan pa ng nanay ko bagyo ! HAHAHAHA.",Not labeled,Not labeled,Not applicable,yolanda langya pangalan pa ng nanay ko bagyo hahahaha,3,1
398046118547685376,Hoping for a no class tomorrow:) #bagyo #yolanda,Eyewitness,Other Useful Information,Related - but not informative,hoping class tomorrow bagyo yolanda,0,3
398051566977953792,@TVPatrol #TVPatrol Inalerto agad ni Gov.Davide ang LGU's para sa pararating ng bagyong #YolandaPH,Media,Caution and advice,Related and informative,tvpatrol tvpatrol inalerto agad ni gov davide ang lgu para sa pararating ng bagyong yolandaph,2,2
398062564447232000,Fruit Bounty - 10% Off http://t.co/Smw6x5dFBK #love #flowers #gifts #freeshipping #philippines,Not labeled,Not labeled,Not related,fruit bounty 10 http co smw6x5dfbk love flowers gifts freeshipping philippines,1,1
398069539570606080,RT @scarletonradio: For everyone in Cebu. Here are some numbers you might need. #YolandaPH http://t.co/Kl3iSrifiM,Media,Caution and advice,Related and informative,rt scarletonradio everyone cebu numbers might need yolandaph http co kl3isrifim,2,2
398098136326864896,"Lord God, I am praying for the safety of all the people especially those who will be affected of Typhoon Yolanda bahala na po kayo BRO.AMEN!",Outsiders,Sympathy and support,Related - but not informative,lord god praying safety people especially affected typhoon yolanda bahala na po kayo bro amen,0,0
398106017432870912,"RT @ANCALERTS: PAGASA: Typhoon Yolanda at 1,110 km east of Hinatuan, Surigao Del Sur, moving west northwest at 30kph #YolandaPH",Media,Caution and advice,Related and informative,rt ancalerts pagasa typhoon yolanda 1 110 km east hinatuan surigao del sur moving west northwest 30kph yolandaph,2,2
398128108798083072,Status update for Typhoon Yolanda. Brace yourselves. http://t.co/X3Zjnfc639,Outsiders,Other Useful Information,Related and informative,status update typhoon yolanda brace http co x3zjnfc639,2,3
398151705986367488,"RT @dzbb: @dost_pagasa: Napaaga po ang oras ng landfall ng Bagyong #YolandaPH. Asahang magla-landfall ito ng 12:00MN-3:00AM bukas, Biyernes…",Media,Caution and advice,Related and informative,rt dzbb dost_pagasa napaaga po ang oras ng landfall ng bagyong yolandaph asahang magla landfall ito ng 12 00mn 3 00am bukas biyernes,2,2
398202662552096769,"BEAUTIFUL AAA WHITE, YELLOW CUBIC ZIRCONIA 925 SILVER ENAMEL FLOWER RING Size 7# http://t.co/az5ztXvowR #philippines #filipino",Not labeled,Not labeled,Not related,beautiful aaa white yellow cubic zirconia 925 silver enamel flower ring size 7 http co az5ztxvowr philippines filipino,1,1
398207989326168064,"RT @ukgdos: (2/2) #YolandaPH SIGNAL NO. 2: hilagang bahagi ng Surigao Del Sur,  hilagang bahagi ng Agusan Del Norte",Media,Caution and advice,Related and informative,rt ukgdos 2 2 yolandaph signal 2 hilagang bahagi ng surigao del sur hilagang bahagi ng agusan del norte,2,2
398241074008690689,"RT @twc_hurricane: Super Typhoon #Haiyan even stronger, now strongest tropical cyclone of 2013 on the entire planet: http://t.co/5Kpmx1dvyH…",Outsiders,Other Useful Information,Related and informative,rt twc_hurricane super typhoon haiyan even stronger strongest tropical cyclone 2013 entire planet http co 5kpmx1dvyh,2,3
398247998817595392,White Waterproof SMD5050 2 x 50CM 30 LED Flexible Strip Light  Led Lamp 12V http://t.co/IHccDgifqs #philippines #filipino,Not labeled,Not labeled,Not related,white waterproof smd5050 2 x 50cm 30 led flexible strip light led lamp 12v http co ihccdgifqs philippines filipino,1,1
398267045134880768,RT @MariRamosCNN: Super Typhoon #Haiyan becomes strongest storm of 2013.  Winds have increased to 280kph/170mph gusting to 330kph/205mph #C…,Media,Caution and advice,Related and informative,rt mariramoscnn super typhoon haiyan becomes strongest storm 2013 winds increased 280kph 170mph gusting 330kph 205mph c,2,2
398299307725430784,"RT @STcom: RT @STForeignDesk: #Philippines braces for super typhoon, the strongest this year http://t.co/wYJrXnBm19 http://t.co/xEsaOU3NHx",Media,Caution and advice,Related and informative,rt stcom rt stforeigndesk philippines braces super typhoon strongest year http co wyjrxnbm19 http co xesaou3nhx,2,2
398311995478265856,"RT @QueenAshi: BREAKING NEWS: Masyadong malakas ang init na dala ni Sen. Miriam, Super typhoon Yolanda, umatras!",Not applicable,Other Useful Information,Related - but not informative,rt queenashi breaking news masyadong malakas ang init na dala ni sen miriam super typhoon yolanda umatras,0,3
398341703767048192,"Powerful storm heads for Philippines: Authorities in the Philippines brace for the arrival of Typhoon Haiyan, ... http://t.co/JEsjjINbab",Media,Caution and advice,Related and informative,powerful storm heads philippines authorities philippines brace arrival typhoon haiyan http co jesjjinbab,2,2
398373056176857088,Anu raw ? Super Typhoon ?,Not labeled,Not labeled,Not applicable,anu raw super typhoon,3,1
398381394453225472,RT @gmanews: .@dost_pagasa: Signal No. 3: Northern Samar Masbate Northern Cebu  Bantayan Island Siargao Dinagat #YolandaPH,Media,Caution and advice,Related and informative,rt gmanews dost_pagasa signal 3 northern samar masbate northern cebu bantayan island siargao dinagat yolandaph,2,2
