Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded
324681353662709760,"@MontesCb7 Waco, Texas!! I use to live near there, ilived in McKinney, tx near Plano where the D is made lol",Not applicable,Other Useful Information,Related - but not informative,montescb7 waco texas use live near ilived mckinney tx near plano made lol,0,0
324693550694543361,"Really? Another explosion, now in Texas? What the hell is wrong with people nowadays? Goddamn...",Outsiders,Sympathy and support,Related - but not informative,really another explosion texas hell wrong people nowadays goddamn,0,1
324694339240460289,"Explosion reported at fertilizer plant in West, McLennan Co.",Outsiders,Other Useful Information,Related and informative,explosion reported fertilizer plant west mclennan co,1,0
324694565753851904,RT @Donna4843: triage for injured at Reagan st in West Tx due to plt explosion  Multiple areas on fire including a school. http://t.co/t ...,Outsiders,Infrastructure and utilities,Related and informative,rt donna4843 triage injured reagan st west tx due plt explosion multiple areas fire including school http co,1,2
324694993551884288,RT @911BUFF: TEXAS: MASSIVE EXPLOSION U/D - LOCAL HOSPITALS NOTIFIED. EVERY AVAILABLE AMBULANCE DISPATCHED. REPORTS OF CASUALTIES. http: ...,Media,Affected individuals,Related and informative,rt 911buff texas massive explosion u local hospitals notified every available ambulance dispatched reports casualties http,1,3
324695182303961089,"RT @firehat: Now tuned in to the massive explosion near Waco. Multiple buildings afire, including a school. Hospital in burning area. Un ...",Outsiders,Infrastructure and utilities,Related and informative,rt firehat tuned massive explosion near waco multiple buildings afire including school hospital burning area un,1,2
324698151875407872,"RT @BreakingNews: Large explosion reported at fertilizer plant near Waco, Texas - @CBSDFW http://t.co/xOIyCyuxFD",Media,Other Useful Information,Related and informative,rt breakingnews large explosion reported fertilizer plant near waco texas cbsdfw http co xoiycyuxfd,1,0
324700123173122049,RT @OccupyCarlisle: Scanner traffic reports people are trapped in a building near Waco TX after explosion reported at fertilizer plant,Media,Affected individuals,Related and informative,rt occupycarlisle scanner traffic reports people trapped building near waco tx explosion reported fertilizer plant,1,3
324700584571711488,"RT @brianstelter: A big explosion at a fertilizer plant in West, TX tonight. Most dramatic photo from the scene, by @AndyBartee: http:// ...",Outsiders,Affected individuals,Related and informative,rt brianstelter big explosion fertilizer plant west tx tonight dramatic photo scene andybartee http,1,3
324702421668487169,RT @sudixitca: MT @RT_com BREAKING: Multiple casualties in #Texas fertilizer plant explosion - reports http://t.co/CXHwhVpdVk,Media,Affected individuals,Related and informative,rt sudixitca mt rt_com breaking multiple casualties texas fertilizer plant explosion reports http co cxhwhvpdvk,1,3
324702723675144192,"@wfaachannel8 McLennan co. dispatch asking more resources rescue trapped people in apartment #explosion at fertilizer plant in West, TX",Media,Affected individuals,Related and informative,wfaachannel8 mclennan co dispatch asking resources rescue trapped people apartment explosion fertilizer plant west tx,1,3
324702774006775809,#waco #explosion http://t.co/4KzHKAsPop,Outsiders,Other Useful Information,Related - but not informative,waco explosion http co 4kzhkaspop,0,0
324704627859791873,RT @alexanderhall: RT @YourAnonNews: WACO TEXAS. FERTILIZER PLANT EXPLOSION. ALL UNITS REQUESTED. http://t.co/8VNtIGKtwk,Media,Affected individuals,Related and informative,rt alexanderhall rt youranonnews waco texas fertilizer plant explosion units requested http co 8vntigktwk,1,3
324705017925861376,"Their was another explosion in west texas, wth!",Outsiders,Other Useful Information,Related - but not informative,another explosion west texas wth,0,0
324705521242353666,"#EEUU.: Explosión en planta de fertilizantes cerca de Waco, Texas, provoca numerosos heridos. Foto @1ventura1  http://t.co/TbHtgiJBBy",Not labeled,Not labeled,Not applicable,eeuu explosión en planta de fertilizantes cerca de waco texas provoca numerosos heridos foto 1ventura1 http co tbhtgijbby,2,4
324706162983448576,"RT @AP: BREAKING: Authorities: Fertilizer plant explodes near Waco, Texas, causing numerous injuries",Media,Affected individuals,Related and informative,rt ap breaking authorities fertilizer plant explodes near waco texas causing numerous injuries,1,3
324706708247154690,"RT @nycjim: Dallas Morning News reports part of town of West, Tex., was leveled in fertilizer plant explosion. http://t.co/XtLj5qA5Nx",Media,Infrastructure and utilities,Related and informative,rt nycjim dallas morning news reports part town west tex leveled fertilizer plant explosion http co xtlj5qa5nx,1,2
324707538736132096,RT @AsiaBrown: RT @i__Cam: RT @NewsBreaker: BREAKING PHOTO: Building ablaze after explosion near Waco http://t.co/igcmAaL6hr,Media,Infrastructure and utilities,Related and informative,rt asiabrown rt i__cam rt newsbreaker breaking photo building ablaze explosion near waco http co igcmaal6hr,1,2
324707635196743680,RT @YourAnonNews: WACO TEXAS. FERTILIZER PLANT EXPLOSION. ALL UNITS REQUESTED. http://t.co/MSwGbnmT1l,Media,Other Useful Information,Related and informative,rt youranonnews waco texas fertilizer plant explosion units requested http co mswgbnmt1l,1,0
324707987501494272,"AUDIO AS IT HAPPENED.  HORRIBLE EXPLOSION! WACO, TX. Fertilizer Plant Explodes, Rest Home Damaged, To Much More... http://t.co/1R8ZGEQMGZ",Media,Other Useful Information,Related and informative,audio happened horrible explosion waco tx fertilizer plant explodes rest home damaged much http co 1r8zgeqmgz,1,0
324708104937820160,RT @CBSNews: Explosion reported at a Texas fertilizer plant http://t.co/JPbI8sHlDl,Media,Other Useful Information,Related and informative,rt cbsnews explosion reported texas fertilizer plant http co jpbi8shldl,1,0
324708251763605505,"Man, that explosion in Waco, pray and hope everyone's not severely injured. :s",Outsiders,Sympathy and support,Related - but not informative,man explosion waco pray hope everyone severely injured,0,1
324709166121877504,RT @Afterseven: WACO EXPLOSION DISPATCH: People trapped IN the Fire  I need anybody and everybody you can send. http://t.co/8pMJsSwunm,Outsiders,Donations and volunteering,Related and informative,rt afterseven waco explosion dispatch people trapped fire need anybody everybody send http co 8pmjsswunm,1,5
324709329666183168,"Explosion rips Texas fertilizer plant: An explosion ripped through a fertilizer plant Wednesday night in West,... http://t.co/vqrbOHGFDE",Media,Infrastructure and utilities,Related and informative,explosion rips texas fertilizer plant explosion ripped fertilizer plant wednesday night west http co vqrbohgfde,1,2
324709631681253376,RT @krisleeph: Injuries Building Damage in Fertilizer Plant Explosion - Dallas News | http://t.co/22O4K7bntG http://t.co/Gb66Xuei0r,Media,Affected individuals,Related and informative,rt krisleeph injuries building damage fertilizer plant explosion dallas news http co 22o4k7bntg http co gb66xuei0r,1,3
324710432772345856,"RT @AP: MORE: Authorities: Those injured in plant explosion near Waco, Texas, being taken to hospitals by troopers: http://t.co/fPPEpiHl ...",Media,Affected individuals,Related and informative,rt ap authorities injured plant explosion near waco texas taken hospitals troopers http co fppepihl,1,3
324710575399649283,RT @BreakingNews: Multiple injuries reported at Texas fertilizer plant explosion - @AP http://t.co/GwkDfSkqXR,Media,Affected individuals,Related and informative,rt breakingnews multiple injuries reported texas fertilizer plant explosion ap http co gwkdfskqxr,1,3
324710772523560961,"RT @BreakingNews: Large explosion reported at fertilizer plant near Waco, Texas - @CBSDFW http://t.co/xOIyCyuxFD",Media,Infrastructure and utilities,Related and informative,rt breakingnews large explosion reported fertilizer plant near waco texas cbsdfw http co xoiycyuxfd,1,2
324711393297313792,"RT @zaidbenjamin: #Breaking: Explosion, injuries reported at fertilizer plant near #Waco, #Texas http://t.co/jnvuMEpYRp",Media,Affected individuals,Related and informative,rt zaidbenjamin breaking explosion injuries reported fertilizer plant near waco texas http co jnvumepyrp,1,3
324711640744460288,RT @BreakingNews: Multiple injuries reported at Texas fertilizer plant explosion - @AP http://t.co/GwkDfSkqXR,Media,Affected individuals,Related and informative,rt breakingnews multiple injuries reported texas fertilizer plant explosion ap http co gwkdfskqxr,1,3
324711959515783170,"@nestorflecha #news  more photo about the #explosion in Waco, #Texas http://t.co/tfcMKGvzr3",Outsiders,Other Useful Information,Related and informative,nestorflecha news photo explosion waco texas http co tfcmkgvzr3,1,0
324712173404299266,Praying for West Texas❤,Outsiders,Sympathy and support,Related - but not informative,praying west texas,0,1
324712651588530176,RT @FoxNews: #BREAKING: Numerous injuries reported in large explosion at #Texas fertilizer plant http://t.co/oH93niFiAS,Media,Affected individuals,Related and informative,rt foxnews breaking numerous injuries reported large explosion texas fertilizer plant http co oh93nifias,1,3
