Tweet ID, Tweet Text, Information Source, Information Type, Informativeness,cleaned_text,informativeness_encoded,information_type_encoded,timestamp,datetime,from,to,distance,cost
324681353662709760,"@MontesCb7 Waco, Texas!! I use to live near there, ilived in McKinney, tx near Plano where the D is made lol",Not applicable,Other Useful Information,Related - but not informative,montescb7 waco texas use live near ilived mckinney tx near plano made lol,0,0,2023-01-01 00:00:00,2023-01-01 00:00:00,317842.0,318711.0,0.872,
324693550694543361,"Really? Another explosion, now in Texas? What the hell is wrong with people nowadays? Goddamn...",Outsiders,Sympathy and support,Related - but not informative,really another explosion texas hell wrong people nowadays goddamn,0,1,2023-01-01 01:00:00,2023-01-01 01:00:00,318721.0,315955.0,1.322,
324694339240460289,"Explosion reported at fertilizer plant in West, McLennan Co.",Outsiders,Other Useful Information,Related and informative,explosion reported fertilizer plant west mclennan co,1,0,2023-01-01 02:00:00,2023-01-01 02:00:00,315927.0,318236.0,1.222,
324694565753851904,RT @Donna4843: triage for injured at Reagan st in West Tx due to plt explosion  Multiple areas on fire including a school. http://t.co/t ...,Outsiders,Infrastructure and utilities,Related and informative,rt donna4843 triage injured reagan st west tx due plt explosion multiple areas fire including school http co,1,2,2023-01-01 03:00:00,2023-01-01 03:00:00,318711.0,318721.0,0.233,
324694993551884288,RT @911BUFF: TEXAS: MASSIVE EXPLOSION U/D - LOCAL HOSPITALS NOTIFIED. EVERY AVAILABLE AMBULANCE DISPATCHED. REPORTS OF CASUALTIES. http: ...,Media,Affected individuals,Related and informative,rt 911buff texas massive explosion u local hospitals notified every available ambulance dispatched reports casualties http,1,3,2023-01-01 04:00:00,2023-01-01 04:00:00,318236.0,317843.0,1.22,
324695182303961089,"RT @firehat: Now tuned in to the massive explosion near Waco. Multiple buildings afire, including a school. Hospital in burning area. Un ...",Outsiders,Infrastructure and utilities,Related and informative,rt firehat tuned massive explosion near waco multiple buildings afire including school hospital burning area un,1,2,2023-01-01 05:00:00,2023-01-01 05:00:00,315955.0,315938.0,0.239,
324698151875407872,"RT @BreakingNews: Large explosion reported at fertilizer plant near Waco, Texas - @CBSDFW http://t.co/xOIyCyuxFD",Media,Other Useful Information,Related and informative,rt breakingnews large explosion reported fertilizer plant near waco texas cbsdfw http co xoiycyuxfd,1,0,2023-01-01 06:00:00,2023-01-01 06:00:00,315969.0,315927.0,0.256,
324700123173122049,RT @OccupyCarlisle: Scanner traffic reports people are trapped in a building near Waco TX after explosion reported at fertilizer plant,Media,Affected individuals,Related and informative,rt occupycarlisle scanner traffic reports people trapped building near waco tx explosion reported fertilizer plant,1,3,2023-01-01 07:00:00,2023-01-01 07:00:00,312346.0,312326.0,0.255,
324700584571711488,"RT @brianstelter: A big explosion at a fertilizer plant in West, TX tonight. Most dramatic photo from the scene, by @AndyBartee: http:// ...",Outsiders,Affected individuals,Related and informative,rt brianstelter big explosion fertilizer plant west tx tonight dramatic photo scene andybartee http,1,3,2023-01-01 08:00:00,2023-01-01 08:00:00,312343.0,312439.0,0.283,
324702421668487169,RT @sudixitca: MT @RT_com BREAKING: Multiple casualties in #Texas fertilizer plant explosion - reports http://t.co/CXHwhVpdVk,Media,Affected individuals,Related and informative,rt sudixitca mt rt_com breaking multiple casualties texas fertilizer plant explosion reports http co cxhwhvpdvk,1,3,2023-01-01 09:00:00,2023-01-01 09:00:00,312439.0,313114.0,1.85,
324702723675144192,"@wfaachannel8 McLennan co. dispatch asking more resources rescue trapped people in apartment #explosion at fertilizer plant in West, TX",Media,Affected individuals,Related and informative,wfaachannel8 mclennan co dispatch asking resources rescue trapped people apartment explosion fertilizer plant west tx,1,3,2023-01-01 10:00:00,2023-01-01 10:00:00,313111.0,317853.0,1.031,
324702774006775809,#waco #explosion http://t.co/4KzHKAsPop,Outsiders,Other Useful Information,Related - but not informative,waco explosion http co 4kzhkaspop,0,0,2023-01-01 11:00:00,2023-01-01 11:00:00,313114.0,313111.0,0.218,
324704627859791873,RT @alexanderhall: RT @YourAnonNews: WACO TEXAS. FERTILIZER PLANT EXPLOSION. ALL UNITS REQUESTED. http://t.co/8VNtIGKtwk,Media,Affected individuals,Related and informative,rt alexanderhall rt youranonnews waco texas fertilizer plant explosion units requested http co 8vntigktwk,1,3,2023-01-01 12:00:00,2023-01-01 12:00:00,317852.0,312346.0,3.208,
324705017925861376,"Their was another explosion in west texas, wth!",Outsiders,Other Useful Information,Related - but not informative,another explosion west texas wth,0,0,2023-01-01 13:00:00,2023-01-01 13:00:00,316174.0,317852.0,0.557,
324705521242353666,"#EEUU.: Explosión en planta de fertilizantes cerca de Waco, Texas, provoca numerosos heridos. Foto @1ventura1  http://t.co/TbHtgiJBBy",Not labeled,Not labeled,Not applicable,eeuu explosión en planta de fertilizantes cerca de waco texas provoca numerosos heridos foto 1ventura1 http co tbhtgijbby,2,4,2023-01-01 14:00:00,2023-01-01 14:00:00,317853.0,313132.0,0.751,
324706162983448576,"RT @AP: BREAKING: Authorities: Fertilizer plant explodes near Waco, Texas, causing numerous injuries",Media,Affected individuals,Related and informative,rt ap breaking authorities fertilizer plant explodes near waco texas causing numerous injuries,1,3,2023-01-01 15:00:00,2023-01-01 15:00:00,316085.0,316174.0,1.369,
324706708247154690,"RT @nycjim: Dallas Morning News reports part of town of West, Tex., was leveled in fertilizer plant explosion. http://t.co/XtLj5qA5Nx",Media,Infrastructure and utilities,Related and informative,rt nycjim dallas morning news reports part town west tex leveled fertilizer plant explosion http co xtlj5qa5nx,1,2,2023-01-01 16:00:00,2023-01-01 16:00:00,313132.0,316084.0,1.171,
324707538736132096,RT @AsiaBrown: RT @i__Cam: RT @NewsBreaker: BREAKING PHOTO: Building ablaze after explosion near Waco http://t.co/igcmAaL6hr,Media,Infrastructure and utilities,Related and informative,rt asiabrown rt i__cam rt newsbreaker breaking photo building ablaze explosion near waco http co igcmaal6hr,1,2,2023-01-01 17:00:00,2023-01-01 17:00:00,315982.0,316085.0,1.095,
324707635196743680,RT @YourAnonNews: WACO TEXAS. FERTILIZER PLANT EXPLOSION. ALL UNITS REQUESTED. http://t.co/MSwGbnmT1l,Media,Other Useful Information,Related and informative,rt youranonnews waco texas fertilizer plant explosion units requested http co mswgbnmt1l,1,0,2023-01-01 18:00:00,2023-01-01 18:00:00,316084.0,315993.0,1.108,
324707987501494272,"AUDIO AS IT HAPPENED.  HORRIBLE EXPLOSION! WACO, TX. Fertilizer Plant Explodes, Rest Home Damaged, To Much More... http://t.co/1R8ZGEQMGZ",Media,Other Useful Information,Related and informative,audio happened horrible explosion waco tx fertilizer plant explodes rest home damaged much http co 1r8zgeqmgz,1,0,2023-01-01 19:00:00,2023-01-01 19:00:00,315993.0,316009.0,0.255,
324708104937820160,RT @CBSNews: Explosion reported at a Texas fertilizer plant http://t.co/JPbI8sHlDl,Media,Other Useful Information,Related and informative,rt cbsnews explosion reported texas fertilizer plant http co jpbi8shldl,1,0,2023-01-01 20:00:00,2023-01-01 20:00:00,316001.0,315982.0,0.17,
324708251763605505,"Man, that explosion in Waco, pray and hope everyone's not severely injured. :s",Outsiders,Sympathy and support,Related - but not informative,man explosion waco pray hope everyone severely injured,0,1,2023-01-01 21:00:00,2023-01-01 21:00:00,316009.0,316018.0,0.782,
324709166121877504,RT @Afterseven: WACO EXPLOSION DISPATCH: People trapped IN the Fire  I need anybody and everybody you can send. http://t.co/8pMJsSwunm,Outsiders,Donations and volunteering,Related and informative,rt afterseven waco explosion dispatch people trapped fire need anybody everybody send http co 8pmjsswunm,1,5,2023-01-01 22:00:00,2023-01-01 22:00:00,316009.0,316019.0,0.782,
324709329666183168,"Explosion rips Texas fertilizer plant: An explosion ripped through a fertilizer plant Wednesday night in West,... http://t.co/vqrbOHGFDE",Media,Infrastructure and utilities,Related and informative,explosion rips texas fertilizer plant explosion ripped fertilizer plant wednesday night west http co vqrbohgfde,1,2,2023-01-01 23:00:00,2023-01-01 23:00:00,316032.0,316001.0,1.493,
324709631681253376,RT @krisleeph: Injuries Building Damage in Fertilizer Plant Explosion - Dallas News | http://t.co/22O4K7bntG http://t.co/Gb66Xuei0r,Media,Affected individuals,Related and informative,rt krisleeph injuries building damage fertilizer plant explosion dallas news http co 22o4k7bntg http co gb66xuei0r,1,3,2023-01-02 00:00:00,2023-01-02 00:00:00,316018.0,316045.0,0.795,
324710432772345856,"RT @AP: MORE: Authorities: Those injured in plant explosion near Waco, Texas, being taken to hospitals by troopers: http://t.co/fPPEpiHl ...",Media,Affected individuals,Related and informative,rt ap authorities injured plant explosion near waco texas taken hospitals troopers http co fppepihl,1,3,2023-01-02 01:00:00,2023-01-02 01:00:00,316019.0,316045.0,0.795,
324710575399649283,RT @BreakingNews: Multiple injuries reported at Texas fertilizer plant explosion - @AP http://t.co/GwkDfSkqXR,Media,Affected individuals,Related and informative,rt breakingnews multiple injuries reported texas fertilizer plant explosion ap http co gwkdfskqxr,1,3,2023-01-02 02:00:00,2023-01-02 02:00:00,313487.0,316032.0,1.195,
324710772523560961,"RT @BreakingNews: Large explosion reported at fertilizer plant near Waco, Texas - @CBSDFW http://t.co/xOIyCyuxFD",Media,Infrastructure and utilities,Related and informative,rt breakingnews large explosion reported fertilizer plant near waco texas cbsdfw http co xoiycyuxfd,1,2,2023-01-02 03:00:00,2023-01-02 03:00:00,317064.0,316032.0,1.195,
324711393297313792,"RT @zaidbenjamin: #Breaking: Explosion, injuries reported at fertilizer plant near #Waco, #Texas http://t.co/jnvuMEpYRp",Media,Affected individuals,Related and informative,rt zaidbenjamin breaking explosion injuries reported fertilizer plant near waco texas http co jnvumepyrp,1,3,2023-01-02 04:00:00,2023-01-02 04:00:00,316045.0,316063.0,1.275,
324711640744460288,RT @BreakingNews: Multiple injuries reported at Texas fertilizer plant explosion - @AP http://t.co/GwkDfSkqXR,Media,Affected individuals,Related and informative,rt breakingnews multiple injuries reported texas fertilizer plant explosion ap http co gwkdfskqxr,1,3,2023-01-02 05:00:00,2023-01-02 05:00:00,316045.0,316064.0,1.275,
324711959515783170,"@nestorflecha #news  more photo about the #explosion in Waco, #Texas http://t.co/tfcMKGvzr3",Outsiders,Other Useful Information,Related and informative,nestorflecha news photo explosion waco texas http co tfcmkgvzr3,1,0,2023-01-02 06:00:00,2023-01-02 06:00:00,314165.0,313487.0,1.749,
324712173404299266,Praying for West Texas❤,Outsiders,Sympathy and support,Related - but not informative,praying west texas,0,1,2023-01-02 07:00:00,2023-01-02 07:00:00,314165.0,317064.0,1.749,
324712651588530176,RT @FoxNews: #BREAKING: Numerous injuries reported in large explosion at #Texas fertilizer plant http://t.co/oH93niFiAS,Media,Affected individuals,Related and informative,rt foxnews breaking numerous injuries reported large explosion texas fertilizer plant http co oh93nifias,1,3,2023-01-02 08:00:00,2023-01-02 08:00:00,315880.0,313487.0,1.749,
324712861278556160,"@countmystars What the fuck is WITH this week. Between this, Boston, the explosion tonight in Waco...",Outsiders,Other Useful Information,Related - but not informative,countmystars fuck week boston explosion tonight waco,0,0,2023-01-02 09:00:00,2023-01-02 09:00:00,315880.0,317064.0,1.749,
324713054245904385,RT @AhmedMedien: Multiple injuries reported at #Texas #fertilizer plant explosion - http://t.co/Vyx44Pgka4,Outsiders,Affected individuals,Related and informative,rt ahmedmedien multiple injuries reported texas fertilizer plant explosion http co vyx44pgka4,1,3,2023-01-02 10:00:00,2023-01-02 10:00:00,316063.0,316387.0,2.373,
324713159090921472,"RT @RealTonyRocha: #TopStories Breaking news: Explosion, injuries reported at fertilizer plant near Waco in … http://t.co/SZMi3LLOfT #To ...",Media,Affected individuals,Related and informative,rt realtonyrocha topstories breaking news explosion injuries reported fertilizer plant near waco http co szmi3lloft,1,3,2023-01-02 11:00:00,2023-01-02 11:00:00,316063.0,316388.0,2.373,
324713222009651200,Prayers #Waco #Texas #tx,Outsiders,Sympathy and support,Related - but not informative,prayers waco texas tx,0,1,2023-01-02 12:00:00,2023-01-02 12:00:00,316064.0,316387.0,2.373,
324713381376434176,RT @posh_jeterson: So many bad things happening this week. #boston #collinsvillewhitesboro #west,Outsiders,Sympathy and support,Related - but not informative,rt posh_jeterson many bad things happening week boston collinsvillewhitesboro west,0,1,2023-01-02 13:00:00,2023-01-02 13:00:00,316064.0,316388.0,2.373,
324713712730660864,"LIVE VIDEO of situation in West, Texas from @CBSDFW - http://t.co/SIRFvkbChG",Media,Other Useful Information,Related and informative,live video situation west texas cbsdfw http co sirfvkbchg,1,0,2023-01-02 14:00:00,2023-01-02 14:00:00,314491.0,314165.0,2.439,
324713976980189185,RT @SafeFamiliesDFW: Please join us in praying for those injured &amp; effected by the fertilizer plant explosion in Waco #prayforwaco,Outsiders,Sympathy and support,Related - but not informative,rt safefamiliesdfw please join us praying injured amp effected fertilizer plant explosion waco prayforwaco,0,1,2023-01-02 15:00:00,2023-01-02 15:00:00,314491.0,315880.0,2.439,
324715289801531393,Official: Several injured in Texas plant explosion http://t.co/c9PTjgIvQ4,Government,Affected individuals,Related and informative,official several injured texas plant explosion http co c9ptjgivq4,1,3,2023-01-02 16:00:00,2023-01-02 16:00:00,315882.0,314165.0,2.439,
324715566625611776,Sending hope and prayers to the people in Waco Texas.,Outsiders,Sympathy and support,Related - but not informative,sending hope prayers people waco texas,0,1,2023-01-02 17:00:00,2023-01-02 17:00:00,315882.0,315880.0,2.439,
324716342550880258,RT @la_la_laura15: Live for today cause tomorrow isn't promised. #PrayForBoston #PrayForWest #PrayForTheWorld,Outsiders,Sympathy and support,Related - but not informative,rt la_la_laura15 live today cause tomorrow promised prayforboston prayforwest prayfortheworld,0,1,2023-01-02 18:00:00,2023-01-02 18:00:00,316387.0,316328.0,1.687,
324716539712532481,Another explosion in Waco TX omg whyyy,Outsiders,Sympathy and support,Related - but not informative,another explosion waco tx omg whyyy,0,1,2023-01-02 19:00:00,2023-01-02 19:00:00,316387.0,317168.0,1.687,
324716732637921280,RT @AC360: #Breaking: reports of an explosion at #Texas fertilizer plant #AC360,Media,Other Useful Information,Related and informative,rt ac360 breaking reports explosion texas fertilizer plant ac360,1,0,2023-01-02 20:00:00,2023-01-02 20:00:00,316388.0,316328.0,1.687,
324716795531505664,"Explosion in Waco, Texas... things are getting real!",Media,Other Useful Information,Related and informative,explosion waco texas things getting real,1,0,2023-01-02 21:00:00,2023-01-02 21:00:00,316388.0,317168.0,1.687,
