from,to,distance,cost
317842,318711,0.872,
318721,315955,1.322,
315927,318236,1.222,
318711,318721,0.233,
318236,317843,1.22,
315955,315938,0.239,
315969,315927,0.256,
312346,312326,0.255,
312343,312439,0.283,
312439,313114,1.85,
313111,317853,1.031,
313114,313111,0.218,
317852,312346,3.208,
316174,317852,0.557,
317853,313132,0.751,
316085,316174,1.369,
313132,316084,1.171,
315982,316085,1.095,
316084,315993,1.108,
315993,316009,0.255,
316001,315982,0.17,
316009,316018,0.782,
316009,316019,0.782,
316032,316001,1.493,
316018,316045,0.795,
316019,316045,0.795,
313487,316032,1.195,
317064,316032,1.195,
316045,316063,1.275,
316045,316064,1.275,
314165,313487,1.749,
314165,317064,1.749,
315880,313487,1.749,
315880,317064,1.749,
316063,316387,2.373,
316063,316388,2.373,
316064,316387,2.373,
316064,316388,2.373,
314491,314165,2.439,
314491,315880,2.439,
315882,314165,2.439,
315882,315880,2.439,
316387,316328,1.687,
316387,317168,1.687,
316388,316328,1.687,
316388,317168,1.687,
314485,314491,0.221,
314485,315882,0.221,
315883,314491,0.221,
315883,315882,0.221,
316328,316314,0.294,
316328,317171,0.294,
317168,316314,0.294,
317168,317171,0.294,
314433,314485,2.939,
314433,315883,2.939,
315886,314485,2.939,
315886,315883,2.939,
316314,314460,2.861,
316314,315866,2.861,
317171,314460,2.861,
317171,315866,2.861,
314460,314446,0.259,
314460,315867,0.259,
315866,314446,0.259,
315866,315867,0.259,
314419,314433,0.249,
314419,315886,0.249,
315887,314433,0.249,
315887,315886,0.249,
313438,314419,3.248,
313438,315887,3.248,
315891,314419,3.248,
315891,315887,3.248,
313450,313438,0.313,
313450,315891,0.313,
315892,313438,0.313,
315892,315891,0.313,
314446,318665,5.476,
314446,318666,5.476,
315867,318665,5.476,
315867,318666,5.476,
313493,313450,2.467,
313493,315892,2.467,
318665,316414,0.571,
318666,316414,0.571,
313512,313493,0.205,
316414,318620,0.569,
318611,313512,0.483,
318612,313512,0.483,
316438,318611,1.93,
316438,318612,1.93,
318656,318611,1.93,
318656,318612,1.93,
318620,318649,2.358,
318620,318650,2.358,
316451,316438,0.212,
316451,318656,0.212,
318636,316438,0.212,
318636,318656,0.212,
318815,316451,1.467,
318815,318636,1.467,
318816,316451,1.467,
318816,318636,1.467,
318649,318800,1.399,
318649,318801,1.399,
318650,318800,1.399,
318650,318801,1.399,
318800,318832,0.32,
318800,318844,0.32,
318801,318832,0.32,
318801,318844,0.32,
318772,318815,0.707,
318772,318816,0.707,
318773,318815,0.707,
318773,318816,0.707,
318832,318764,0.302,
318832,318775,0.302,
318844,318764,0.302,
318844,318775,0.302,
318787,318772,0.448,
318787,318773,0.448,
318788,318772,0.448,
318788,318773,0.448,
318179,318753,1.742,
318753,317752,5.762,
317166,317157,0.226,
317157,314217,2.283,
314217,318787,3.717,
314217,318788,3.717,
318764,317752,6.794,
318775,317752,6.794,
314217,318180,4.577,
318180,318401,5.767,
318401,318421,0.314,
318432,318412,0.229,
318421,317081,3.665,
317088,318432,3.762,
317146,317143,0.315,
317139,317141,0.286,
317143,317862,1.305,
317861,317139,1.4,
317869,317861,1.606,
317870,317861,1.606,
317862,313190,2.891,
317862,314730,2.891,
317862,315828,2.891,
317862,315830,2.891,
313190,314697,0.788,
313190,314698,0.788,
313190,315831,0.788,
314730,314697,0.788,
314730,314698,0.788,
314730,315831,0.788,
315828,314697,0.788,
315828,314698,0.788,
315828,315831,0.788,
315830,314697,0.788,
315830,314698,0.788,
315830,315831,0.788,
314697,313166,0.739,
314697,315827,0.739,
314698,313166,0.739,
314698,315827,0.739,
315831,313166,0.739,
315831,315827,0.739,
314689,317869,2.841,
314689,317870,2.841,
315833,317869,2.841,
315833,317870,2.841,
313166,313172,0.26,
313166,315823,0.26,
315827,313172,0.26,
315827,315823,0.26,
313172,313178,0.498,
313172,315826,0.498,
315823,313178,0.498,
315823,315826,0.498,
317933,314689,1.044,
317933,315833,1.044,
317934,314689,1.044,
317934,315833,1.044,
313178,317956,0.893,
313178,317960,0.893,
315826,317956,0.893,
315826,317960,0.893,
317956,317947,0.334,
317956,317948,0.334,
317960,317947,0.334,
317960,317948,0.334,
312570,317933,1.78,
312570,317934,1.78,
314625,317933,1.78,
314625,317934,1.78,
315872,317933,1.78,
315872,317934,1.78,
317947,315834,0.864,
317948,315834,0.864,
315834,312648,1.022,
315834,315841,1.022,
316399,312570,1.153,
316399,314625,1.153,
316399,315872,1.153,
316400,312570,1.153,
316400,314625,1.153,
316400,315872,1.153,
314681,316399,0.136,
314681,316400,0.136,
315835,316399,0.136,
315835,316400,0.136,
314230,314241,0.295,
314230,315908,0.295,
315907,314241,0.295,
315907,315908,0.295,
314379,314248,0.338,
314379,315904,0.338,
315903,314248,0.338,
315903,315904,0.338,
313551,313552,0.341,
