datetime,from,to,distance,cost
2023-01-01 00:00:00,317842.0,318711.0,0.872,
2023-01-01 01:00:00,318721.0,315955.0,1.322,
2023-01-01 02:00:00,315927.0,318236.0,1.222,
2023-01-01 03:00:00,318711.0,318721.0,0.233,
2023-01-01 04:00:00,318236.0,317843.0,1.22,
2023-01-01 05:00:00,315955.0,315938.0,0.239,
2023-01-01 06:00:00,315969.0,315927.0,0.256,
2023-01-01 07:00:00,312346.0,312326.0,0.255,
2023-01-01 08:00:00,312343.0,312439.0,0.283,
2023-01-01 09:00:00,312439.0,313114.0,1.85,
2023-01-01 10:00:00,313111.0,317853.0,1.031,
2023-01-01 11:00:00,313114.0,313111.0,0.218,
2023-01-01 12:00:00,317852.0,312346.0,3.208,
2023-01-01 13:00:00,316174.0,317852.0,0.557,
2023-01-01 14:00:00,317853.0,313132.0,0.751,
2023-01-01 15:00:00,316085.0,316174.0,1.369,
2023-01-01 16:00:00,313132.0,316084.0,1.171,
2023-01-01 17:00:00,315982.0,316085.0,1.095,
2023-01-01 18:00:00,316084.0,315993.0,1.108,
2023-01-01 19:00:00,315993.0,316009.0,0.255,
2023-01-01 20:00:00,316001.0,315982.0,0.17,
2023-01-01 21:00:00,316009.0,316018.0,0.782,
2023-01-01 22:00:00,316009.0,316019.0,0.782,
2023-01-01 23:00:00,316032.0,316001.0,1.493,
2023-01-02 00:00:00,316018.0,316045.0,0.795,
2023-01-02 01:00:00,316019.0,316045.0,0.795,
2023-01-02 02:00:00,313487.0,316032.0,1.195,
2023-01-02 03:00:00,317064.0,316032.0,1.195,
2023-01-02 04:00:00,316045.0,316063.0,1.275,
2023-01-02 05:00:00,316045.0,316064.0,1.275,
2023-01-02 06:00:00,314165.0,313487.0,1.749,
2023-01-02 07:00:00,314165.0,317064.0,1.749,
2023-01-02 08:00:00,315880.0,313487.0,1.749,
2023-01-02 09:00:00,315880.0,317064.0,1.749,
2023-01-02 10:00:00,316063.0,316387.0,2.373,
2023-01-02 11:00:00,316063.0,316388.0,2.373,
2023-01-02 12:00:00,316064.0,316387.0,2.373,
2023-01-02 13:00:00,316064.0,316388.0,2.373,
2023-01-02 14:00:00,314491.0,314165.0,2.439,
2023-01-02 15:00:00,314491.0,315880.0,2.439,
2023-01-02 16:00:00,315882.0,314165.0,2.439,
2023-01-02 17:00:00,315882.0,315880.0,2.439,
2023-01-02 18:00:00,316387.0,316328.0,1.687,
2023-01-02 19:00:00,316387.0,317168.0,1.687,
2023-01-02 20:00:00,316388.0,316328.0,1.687,
2023-01-02 21:00:00,316388.0,317168.0,1.687,
2023-01-02 22:00:00,314485.0,314491.0,0.221,
2023-01-02 23:00:00,314485.0,315882.0,0.221,
2023-01-03 00:00:00,315883.0,314491.0,0.221,
2023-01-03 01:00:00,315883.0,315882.0,0.221,
2023-01-03 02:00:00,316328.0,316314.0,0.294,
2023-01-03 03:00:00,316328.0,317171.0,0.294,
2023-01-03 04:00:00,317168.0,316314.0,0.294,
2023-01-03 05:00:00,317168.0,317171.0,0.294,
2023-01-03 06:00:00,314433.0,314485.0,2.939,
2023-01-03 07:00:00,314433.0,315883.0,2.939,
2023-01-03 08:00:00,315886.0,314485.0,2.939,
2023-01-03 09:00:00,315886.0,315883.0,2.939,
2023-01-03 10:00:00,316314.0,314460.0,2.861,
2023-01-03 11:00:00,316314.0,315866.0,2.861,
2023-01-03 12:00:00,317171.0,314460.0,2.861,
2023-01-03 13:00:00,317171.0,315866.0,2.861,
2023-01-03 14:00:00,314460.0,314446.0,0.259,
2023-01-03 15:00:00,314460.0,315867.0,0.259,
2023-01-03 16:00:00,315866.0,314446.0,0.259,
2023-01-03 17:00:00,315866.0,315867.0,0.259,
2023-01-03 18:00:00,314419.0,314433.0,0.249,
2023-01-03 19:00:00,314419.0,315886.0,0.249,
2023-01-03 20:00:00,315887.0,314433.0,0.249,
2023-01-03 21:00:00,315887.0,315886.0,0.249,
2023-01-03 22:00:00,313438.0,314419.0,3.248,
2023-01-03 23:00:00,313438.0,315887.0,3.248,
2023-01-04 00:00:00,315891.0,314419.0,3.248,
2023-01-04 01:00:00,315891.0,315887.0,3.248,
2023-01-04 02:00:00,313450.0,313438.0,0.313,
2023-01-04 03:00:00,313450.0,315891.0,0.313,
2023-01-04 04:00:00,315892.0,313438.0,0.313,
2023-01-04 05:00:00,315892.0,315891.0,0.313,
2023-01-04 06:00:00,314446.0,318665.0,5.476,
2023-01-04 07:00:00,314446.0,318666.0,5.476,
2023-01-04 08:00:00,315867.0,318665.0,5.476,
2023-01-04 09:00:00,315867.0,318666.0,5.476,
2023-01-04 10:00:00,313493.0,313450.0,2.467,
2023-01-04 11:00:00,313493.0,315892.0,2.467,
2023-01-04 12:00:00,318665.0,316414.0,0.571,
2023-01-04 13:00:00,318666.0,316414.0,0.571,
2023-01-04 14:00:00,313512.0,313493.0,0.205,
2023-01-04 15:00:00,316414.0,318620.0,0.569,
2023-01-04 16:00:00,318611.0,313512.0,0.483,
2023-01-04 17:00:00,318612.0,313512.0,0.483,
2023-01-04 18:00:00,316438.0,318611.0,1.93,
2023-01-04 19:00:00,316438.0,318612.0,1.93,
2023-01-04 20:00:00,318656.0,318611.0,1.93,
2023-01-04 21:00:00,318656.0,318612.0,1.93,
2023-01-04 22:00:00,318620.0,318649.0,2.358,
2023-01-04 23:00:00,318620.0,318650.0,2.358,
2023-01-05 00:00:00,316451.0,316438.0,0.212,
2023-01-05 01:00:00,316451.0,318656.0,0.212,
2023-01-05 02:00:00,318636.0,316438.0,0.212,
2023-01-05 03:00:00,318636.0,318656.0,0.212,
2023-01-05 04:00:00,318815.0,316451.0,1.467,
2023-01-05 05:00:00,318815.0,318636.0,1.467,
2023-01-05 06:00:00,318816.0,316451.0,1.467,
2023-01-05 07:00:00,318816.0,318636.0,1.467,
2023-01-05 08:00:00,318649.0,318800.0,1.399,
2023-01-05 09:00:00,318649.0,318801.0,1.399,
2023-01-05 10:00:00,318650.0,318800.0,1.399,
2023-01-05 11:00:00,318650.0,318801.0,1.399,
2023-01-05 12:00:00,318800.0,318832.0,0.32,
2023-01-05 13:00:00,318800.0,318844.0,0.32,
2023-01-05 14:00:00,318801.0,318832.0,0.32,
2023-01-05 15:00:00,318801.0,318844.0,0.32,
2023-01-05 16:00:00,318772.0,318815.0,0.707,
2023-01-05 17:00:00,318772.0,318816.0,0.707,
2023-01-05 18:00:00,318773.0,318815.0,0.707,
2023-01-05 19:00:00,318773.0,318816.0,0.707,
2023-01-05 20:00:00,318832.0,318764.0,0.302,
2023-01-05 21:00:00,318832.0,318775.0,0.302,
2023-01-05 22:00:00,318844.0,318764.0,0.302,
2023-01-05 23:00:00,318844.0,318775.0,0.302,
2023-01-06 00:00:00,318787.0,318772.0,0.448,
2023-01-06 01:00:00,318787.0,318773.0,0.448,
2023-01-06 02:00:00,318788.0,318772.0,0.448,
2023-01-06 03:00:00,318788.0,318773.0,0.448,
2023-01-06 04:00:00,318179.0,318753.0,1.742,
2023-01-06 05:00:00,318753.0,317752.0,5.762,
2023-01-06 06:00:00,317166.0,317157.0,0.226,
2023-01-06 07:00:00,317157.0,314217.0,2.283,
2023-01-06 08:00:00,314217.0,318787.0,3.717,
2023-01-06 09:00:00,314217.0,318788.0,3.717,
2023-01-06 10:00:00,318764.0,317752.0,6.794,
2023-01-06 11:00:00,318775.0,317752.0,6.794,
2023-01-06 12:00:00,314217.0,318180.0,4.577,
2023-01-06 13:00:00,318180.0,318401.0,5.767,
2023-01-06 14:00:00,318401.0,318421.0,0.314,
2023-01-06 15:00:00,318432.0,318412.0,0.229,
2023-01-06 16:00:00,318421.0,317081.0,3.665,
2023-01-06 17:00:00,317088.0,318432.0,3.762,
2023-01-06 18:00:00,317146.0,317143.0,0.315,
2023-01-06 19:00:00,317139.0,317141.0,0.286,
2023-01-06 20:00:00,317143.0,317862.0,1.305,
2023-01-06 21:00:00,317861.0,317139.0,1.4,
2023-01-06 22:00:00,317869.0,317861.0,1.606,
2023-01-06 23:00:00,317870.0,317861.0,1.606,
2023-01-07 00:00:00,317862.0,313190.0,2.891,
2023-01-07 01:00:00,317862.0,314730.0,2.891,
2023-01-07 02:00:00,317862.0,315828.0,2.891,
2023-01-07 03:00:00,317862.0,315830.0,2.891,
2023-01-07 04:00:00,313190.0,314697.0,0.788,
2023-01-07 05:00:00,313190.0,314698.0,0.788,
2023-01-07 06:00:00,313190.0,315831.0,0.788,
2023-01-07 07:00:00,314730.0,314697.0,0.788,
2023-01-07 08:00:00,314730.0,314698.0,0.788,
2023-01-07 09:00:00,314730.0,315831.0,0.788,
2023-01-07 10:00:00,315828.0,314697.0,0.788,
2023-01-07 11:00:00,315828.0,314698.0,0.788,
2023-01-07 12:00:00,315828.0,315831.0,0.788,
2023-01-07 13:00:00,315830.0,314697.0,0.788,
2023-01-07 14:00:00,315830.0,314698.0,0.788,
2023-01-07 15:00:00,315830.0,315831.0,0.788,
2023-01-07 16:00:00,314697.0,313166.0,0.739,
2023-01-07 17:00:00,314697.0,315827.0,0.739,
2023-01-07 18:00:00,314698.0,313166.0,0.739,
2023-01-07 19:00:00,314698.0,315827.0,0.739,
2023-01-07 20:00:00,315831.0,313166.0,0.739,
2023-01-07 21:00:00,315831.0,315827.0,0.739,
2023-01-07 22:00:00,314689.0,317869.0,2.841,
2023-01-07 23:00:00,314689.0,317870.0,2.841,
2023-01-08 00:00:00,315833.0,317869.0,2.841,
2023-01-08 01:00:00,315833.0,317870.0,2.841,
2023-01-08 02:00:00,313166.0,313172.0,0.26,
2023-01-08 03:00:00,313166.0,315823.0,0.26,
2023-01-08 04:00:00,315827.0,313172.0,0.26,
2023-01-08 05:00:00,315827.0,315823.0,0.26,
2023-01-08 06:00:00,313172.0,313178.0,0.498,
2023-01-08 07:00:00,313172.0,315826.0,0.498,
2023-01-08 08:00:00,315823.0,313178.0,0.498,
2023-01-08 09:00:00,315823.0,315826.0,0.498,
2023-01-08 10:00:00,317933.0,314689.0,1.044,
2023-01-08 11:00:00,317933.0,315833.0,1.044,
2023-01-08 12:00:00,317934.0,314689.0,1.044,
2023-01-08 13:00:00,317934.0,315833.0,1.044,
2023-01-08 14:00:00,313178.0,317956.0,0.893,
2023-01-08 15:00:00,313178.0,317960.0,0.893,
2023-01-08 16:00:00,315826.0,317956.0,0.893,
2023-01-08 17:00:00,315826.0,317960.0,0.893,
2023-01-08 18:00:00,317956.0,317947.0,0.334,
2023-01-08 19:00:00,317956.0,317948.0,0.334,
2023-01-08 20:00:00,317960.0,317947.0,0.334,
2023-01-08 21:00:00,317960.0,317948.0,0.334,
2023-01-08 22:00:00,312570.0,317933.0,1.78,
2023-01-08 23:00:00,312570.0,317934.0,1.78,
2023-01-09 00:00:00,314625.0,317933.0,1.78,
2023-01-09 01:00:00,314625.0,317934.0,1.78,
2023-01-09 02:00:00,315872.0,317933.0,1.78,
2023-01-09 03:00:00,315872.0,317934.0,1.78,
2023-01-09 04:00:00,317947.0,315834.0,0.864,
2023-01-09 05:00:00,317948.0,315834.0,0.864,
2023-01-09 06:00:00,315834.0,312648.0,1.022,
2023-01-09 07:00:00,315834.0,315841.0,1.022,
2023-01-09 08:00:00,316399.0,312570.0,1.153,
2023-01-09 09:00:00,316399.0,314625.0,1.153,
2023-01-09 10:00:00,316399.0,315872.0,1.153,
2023-01-09 11:00:00,316400.0,312570.0,1.153,
2023-01-09 12:00:00,316400.0,314625.0,1.153,
2023-01-09 13:00:00,316400.0,315872.0,1.153,
2023-01-09 14:00:00,314681.0,316399.0,0.136,
2023-01-09 15:00:00,314681.0,316400.0,0.136,
2023-01-09 16:00:00,315835.0,316399.0,0.136,
2023-01-09 17:00:00,315835.0,316400.0,0.136,
2023-01-09 18:00:00,314230.0,314241.0,0.295,
2023-01-09 19:00:00,314230.0,315908.0,0.295,
2023-01-09 20:00:00,315907.0,314241.0,0.295,
2023-01-09 21:00:00,315907.0,315908.0,0.295,
2023-01-09 22:00:00,314379.0,314248.0,0.338,
2023-01-09 23:00:00,314379.0,315904.0,0.338,
2023-01-10 00:00:00,315903.0,314248.0,0.338,
2023-01-10 01:00:00,315903.0,315904.0,0.338,
