from,to,distance,cost,from_datetime,hour,day_of_week,distance_rolling_avg,cost_rolling_avg
317842,318711,0.872,,1970-01-04 16:17:22,16,6,0.872,
318721,315955,1.322,,1970-01-04 16:32:01,16,6,1.097,
315927,318236,1.222,,1970-01-04 15:45:27,15,6,1.1386666666666667,
318711,318721,0.233,,1970-01-04 16:31:51,16,6,0.9256666666666667,
318236,317843,1.22,,1970-01-04 16:23:56,16,6,0.8916666666666666,
315955,315938,0.239,,1970-01-04 15:45:55,15,6,0.5640000000000001,
315969,315927,0.256,,1970-01-04 15:46:09,15,6,0.5716666666666667,
312346,312326,0.255,,1970-01-04 14:45:46,14,6,0.25,
312343,312439,0.283,,1970-01-04 14:45:43,14,6,0.26466666666666666,
312439,313114,1.85,,1970-01-04 14:47:19,14,6,0.7959999999999999,
313111,317853,1.031,,1970-01-04 14:58:31,14,6,1.0546666666666666,
313114,313111,0.218,,1970-01-04 14:58:34,14,6,1.0330000000000001,
317852,312346,3.208,,1970-01-04 16:17:32,16,6,1.4856666666666667,
316174,317852,0.557,,1970-01-04 15:49:34,15,6,1.3276666666666668,
317853,313132,0.751,,1970-01-04 16:17:33,16,6,1.5053333333333334,
316085,316174,1.369,,1970-01-04 15:48:05,15,6,0.8923333333333332,
313132,316084,1.171,,1970-01-04 14:58:52,14,6,1.0969999999999998,
315982,316085,1.095,,1970-01-04 15:46:22,15,6,1.2116666666666664,
316084,315993,1.108,,1970-01-04 15:48:04,15,6,1.1246666666666665,
315993,316009,0.255,,1970-01-04 15:46:33,15,6,0.8193333333333331,
316001,315982,0.17,,1970-01-04 15:46:41,15,6,0.5109999999999999,
316009,316018,0.782,,1970-01-04 15:46:49,15,6,0.4023333333333332,
316009,316019,0.782,,1970-01-04 15:46:49,15,6,0.5779999999999998,
316032,316001,1.493,,1970-01-04 15:47:12,15,6,1.019,
316018,316045,0.795,,1970-01-04 15:46:58,15,6,1.0233333333333332,
316019,316045,0.795,,1970-01-04 15:46:59,15,6,1.0276666666666667,
313487,316032,1.195,,1970-01-04 15:04:47,15,6,0.9283333333333332,
317064,316032,1.195,,1970-01-04 16:04:24,16,6,1.0616666666666665,
316045,316063,1.275,,1970-01-04 15:47:25,15,6,1.2216666666666667,
316045,316064,1.275,,1970-01-04 15:47:25,15,6,1.248333333333333,
314165,313487,1.749,,1970-01-04 15:16:05,15,6,1.4329999999999998,
314165,317064,1.749,,1970-01-04 15:16:05,15,6,1.591,
315880,313487,1.749,,1970-01-04 15:44:40,15,6,1.749,
315880,317064,1.749,,1970-01-04 15:44:40,15,6,1.749,
316063,316387,2.373,,1970-01-04 15:47:43,15,6,1.9569999999999999,
316063,316388,2.373,,1970-01-04 15:47:43,15,6,2.165,
316064,316387,2.373,,1970-01-04 15:47:44,15,6,2.373,
316064,316388,2.373,,1970-01-04 15:47:44,15,6,2.373,
314491,314165,2.439,,1970-01-04 15:21:31,15,6,2.395,
314491,315880,2.439,,1970-01-04 15:21:31,15,6,2.417,
315882,314165,2.439,,1970-01-04 15:44:42,15,6,2.439,
315882,315880,2.439,,1970-01-04 15:44:42,15,6,2.439,
316387,316328,1.687,,1970-01-04 15:53:07,15,6,2.188333333333333,
316387,317168,1.687,,1970-01-04 15:53:07,15,6,1.9376666666666662,
316388,316328,1.687,,1970-01-04 15:53:08,15,6,1.687,
316388,317168,1.687,,1970-01-04 15:53:08,15,6,1.687,
314485,314491,0.221,,1970-01-04 15:21:25,15,6,1.198333333333333,
314485,315882,0.221,,1970-01-04 15:21:25,15,6,0.7096666666666663,
315883,314491,0.221,,1970-01-04 15:44:43,15,6,0.221,
315883,315882,0.221,,1970-01-04 15:44:43,15,6,0.221,
316328,316314,0.294,,1970-01-04 15:52:08,15,6,0.24533333333333304,
316328,317171,0.294,,1970-01-04 15:52:08,15,6,0.26966666666666633,
317168,316314,0.294,,1970-01-04 16:06:08,16,6,0.294,
317168,317171,0.294,,1970-01-04 16:06:08,16,6,0.294,
314433,314485,2.939,,1970-01-04 15:20:33,15,6,1.1756666666666664,
314433,315883,2.939,,1970-01-04 15:20:33,15,6,2.057333333333333,
315886,314485,2.939,,1970-01-04 15:44:46,15,6,2.939,
315886,315883,2.939,,1970-01-04 15:44:46,15,6,2.939,
316314,314460,2.861,,1970-01-04 15:51:54,15,6,2.9130000000000003,
316314,315866,2.861,,1970-01-04 15:51:54,15,6,2.887,
317171,314460,2.861,,1970-01-04 16:06:11,16,6,2.861,
317171,315866,2.861,,1970-01-04 16:06:11,16,6,2.861,
314460,314446,0.259,,1970-01-04 15:21:00,15,6,1.9936666666666663,
314460,315867,0.259,,1970-01-04 15:21:00,15,6,1.1263333333333332,
315866,314446,0.259,,1970-01-04 15:44:26,15,6,0.259,
315866,315867,0.259,,1970-01-04 15:44:26,15,6,0.259,
314419,314433,0.249,,1970-01-04 15:20:19,15,6,0.2556666666666664,
314419,315886,0.249,,1970-01-04 15:20:19,15,6,0.252333333333333,
315887,314433,0.249,,1970-01-04 15:44:47,15,6,0.249,
315887,315886,0.249,,1970-01-04 15:44:47,15,6,0.249,
313438,314419,3.248,,1970-01-04 15:03:58,15,6,1.2486666666666666,
313438,315887,3.248,,1970-01-04 15:03:58,15,6,2.248333333333333,
315891,314419,3.248,,1970-01-04 15:44:51,15,6,3.248,
315891,315887,3.248,,1970-01-04 15:44:51,15,6,3.248,
313450,313438,0.313,,1970-01-04 15:04:10,15,6,2.2696666666666667,
313450,315891,0.313,,1970-01-04 15:04:10,15,6,1.2913333333333332,
315892,313438,0.313,,1970-01-04 15:44:52,15,6,0.313,
315892,315891,0.313,,1970-01-04 15:44:52,15,6,0.313,
314446,318665,5.476,,1970-01-04 15:20:46,15,6,2.034,
314446,318666,5.476,,1970-01-04 15:20:46,15,6,3.7550000000000003,
315867,318665,5.476,,1970-01-04 15:44:27,15,6,5.476,
315867,318666,5.476,,1970-01-04 15:44:27,15,6,5.476,
313493,313450,2.467,,1970-01-04 15:04:53,15,6,4.473,
313493,315892,2.467,,1970-01-04 15:04:53,15,6,3.47,
318665,316414,0.571,,1970-01-04 16:31:05,16,6,1.8349999999999997,
318666,316414,0.571,,1970-01-04 16:31:06,16,6,1.2029999999999996,
313512,313493,0.205,,1970-01-04 15:05:12,15,6,0.4489999999999997,
316414,318620,0.569,,1970-01-04 15:53:34,15,6,0.448333333333333,
318611,313512,0.483,,1970-01-04 16:30:11,16,6,0.41899999999999965,
318612,313512,0.483,,1970-01-04 16:30:12,16,6,0.5116666666666663,
316438,318611,1.93,,1970-01-04 15:53:58,15,6,0.965333333333333,
316438,318612,1.93,,1970-01-04 15:53:58,15,6,1.4476666666666664,
318656,318611,1.93,,1970-01-04 16:30:56,16,6,1.93,
318656,318612,1.93,,1970-01-04 16:30:56,16,6,1.93,
318620,318649,2.358,,1970-01-04 16:30:20,16,6,2.072666666666666,
318620,318650,2.358,,1970-01-04 16:30:20,16,6,2.215333333333333,
316451,316438,0.212,,1970-01-04 15:54:11,15,6,1.6426666666666663,
316451,318656,0.212,,1970-01-04 15:54:11,15,6,0.927333333333333,
318636,316438,0.212,,1970-01-04 16:30:36,16,6,0.212,
318636,318656,0.212,,1970-01-04 16:30:36,16,6,0.212,
318815,316451,1.467,,1970-01-04 16:33:35,16,6,0.6303333333333331,
318815,318636,1.467,,1970-01-04 16:33:35,16,6,1.0486666666666664,
318816,316451,1.467,,1970-01-04 16:33:36,16,6,1.467,
318816,318636,1.467,,1970-01-04 16:33:36,16,6,1.467,
318649,318800,1.399,,1970-01-04 16:30:49,16,6,1.444333333333333,
318649,318801,1.399,,1970-01-04 16:30:49,16,6,1.4216666666666666,
318650,318800,1.399,,1970-01-04 16:30:50,16,6,1.399,
318650,318801,1.399,,1970-01-04 16:30:50,16,6,1.399,
318800,318832,0.32,,1970-01-04 16:33:20,16,6,1.039333333333333,
318800,318844,0.32,,1970-01-04 16:33:20,16,6,0.6796666666666664,
318801,318832,0.32,,1970-01-04 16:33:21,16,6,0.32,
318801,318844,0.32,,1970-01-04 16:33:21,16,6,0.32,
318772,318815,0.707,,1970-01-04 16:32:52,16,6,0.4489999999999997,
318772,318816,0.707,,1970-01-04 16:32:52,16,6,0.5779999999999997,
318773,318815,0.707,,1970-01-04 16:32:53,16,6,0.707,
318773,318816,0.707,,1970-01-04 16:32:53,16,6,0.707,
318832,318764,0.302,,1970-01-04 16:33:52,16,6,0.5719999999999997,
318832,318775,0.302,,1970-01-04 16:33:52,16,6,0.43699999999999967,
318844,318764,0.302,,1970-01-04 16:34:04,16,6,0.302,
318844,318775,0.302,,1970-01-04 16:34:04,16,6,0.302,
318787,318772,0.448,,1970-01-04 16:33:07,16,6,0.3506666666666664,
318787,318773,0.448,,1970-01-04 16:33:07,16,6,0.39933333333333304,
318788,318772,0.448,,1970-01-04 16:33:08,16,6,0.448,
318788,318773,0.448,,1970-01-04 16:33:08,16,6,0.448,
318179,318753,1.742,,1970-01-04 16:22:59,16,6,0.879333333333333,
318753,317752,5.762,,1970-01-04 16:32:33,16,6,2.650666666666666,
317166,317157,0.226,,1970-01-04 16:06:06,16,6,2.576666666666666,
317157,314217,2.283,,1970-01-04 16:05:57,16,6,2.7569999999999997,
314217,318787,3.717,,1970-01-04 15:16:57,15,6,2.075333333333333,
314217,318788,3.717,,1970-01-04 15:16:57,15,6,3.2389999999999994,
318764,317752,6.794,,1970-01-04 16:32:44,16,6,4.742666666666667,
318775,317752,6.794,,1970-01-04 16:32:55,16,6,5.7683333333333335,
314217,318180,4.577,,1970-01-04 15:16:57,15,6,6.055,
